site,country,title,price_usd,review_count,seller_badge,search_position,monthly_sold_count,is_bestseller,bestseller_rank,validity,usage_validity,activation_validity,network_type,network_generation,carrier_support_local,data_amount,product_url,asin,site_product_id,seller,brand,evidence
amazon_us,kr,"eSIM Cards for International Travel, South Korea Prepaid eSIM Unlimited Data, 5-Day Plan, 4G LTE 5G Speed, Hotspot Supported, eSIM with Instant Activation in 10 Minutes",12.99,21,,,,True,58,5일,5일,90일,unknown,5g_capable,"{""skt"": true, ""kt"": null, ""lgu"": null}",0.6GB/day,https://www.amazon.com/International-Prepaid-Hotspot-Supported-Activation/dp/B0FR94VDBR,B0FR94VDBR,B0FR94VDBR,WoWeSim,Visit the WoWeSim Store,"{""price_usd"": [""$12.99""], ""usage_validity"": [""eSIM Cards for International Travel, South Korea Prepaid eSIM Unlimited Data, 5-Day Plan, 4G LTE 5G Speed, Hotspot Supported, eSIM with Instant Activation in 10 Minutes""], ""activation_validity"": [""FAST AND EASY ESIM INSTALLATION: Activate your international travel eSIM quickly on a compatible smartphone. Simply scan the eSIM QR code sent via email to install the eSIM. Activa""], ""data_amount"": [""EXTENDED UNLIMITED DATA - 30 DAYS: We have upgraded this plan to Unlimited Data (originally 3 GB) for worry-free browsing. PLEASE NOTE: Although the physical package is labeled \""5 ""], ""network_type"": [""roaming_signal: DAILY HIGH-SPEED DATA FOR 5 DAYS: Enjoy unilimited data of high-speed data per day for5 days in South Korea with SKT network; ideal for short trips or business travel; stay connect"", ""insufficient_or_conflicting_signals(local=0, roaming=-1)""], ""network_generation"": [""product_info_cellular_5g: source:product_info_cellular: Cellular Technology LTE/4G/5G"", ""product_info_cellular_5g: source:product_info_cellular: Cellular Technology LTE/4G/5G"", ""product_info_cellular_4g_lte_signal_present_but_5g_capable_takes_precedence""], ""carrier_support_local"": [""SKT: DAILY HIGH-SPEED DATA FOR 5 DAYS: Enjoy unilimited data of high-speed data per day for5 days in South Korea with SKT network; ideal for short trips or""], ""review_count"": [""detail_page: 21 global ratings""], ""is_bestseller"": [""Best Sellers Rank #27,202 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #58 in Cell Phone SIM Cards""], ""bestseller_rank"": [""Best Sellers Rank #27,202 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #58 in Cell Phone SIM Cards""], ""title"": [""eSIM Cards for International Travel, South Korea Prepaid eSIM Unlimited Data, 5-Day Plan, 4G LTE 5G Speed, Hotspot Supported, eSIM with Instant Activation in 10 Minutes""]}"
amazon_us,kr,"ESIM Cards for International Travel, South Korea Prepaid eSIM Unlimited Data, 30-Day Plan, 4G LTE 5G Speed, Hotspot Supported, eSIM with Instant Activation in 10 Minutes",28.99,21,,,,True,58,30일,30일,30일,unknown,5g_capable,"{""skt"": true, ""kt"": null, ""lgu"": null}",unlimited,https://www.amazon.com/International-Prepaid-Unlimited-Supported-Activation/dp/B0FR96VY25,B0FR96VY25,B0FR96VY25,WoWeSim,Visit the WoWeSim Store,"{""price_usd"": [""$28.99""], ""usage_validity"": [""ESIM Cards for International Travel, South Korea Prepaid eSIM Unlimited Data, 30-Day Plan, 4G LTE 5G Speed, Hotspot Supported, eSIM with Instant Activation in 10 Minutes""], ""activation_validity"": [""EXTENDED 30 DAYS - UNLIMITED GB DATA: We have extended this plan's validity to a full 30 Days (originally 5) for longer trips. PLEASE NOTE: The physical package label still display""], ""data_amount"": [""EXTENDED 30 DAYS - UNLIMITED GB DATA: We have extended this plan's validity to a full 30 Days (originally 5) for longer trips. PLEASE NOTE: The physical package label still display""], ""network_type"": [""roaming_signal: DAILY HIGH-SPEED DATA FOR 30 DAYS: Enjoy unlimited data of high-speed data per day for 30 days in South Korea with SKT network; ideal for short trips or business travel; stay conne"", ""insufficient_or_conflicting_signals(local=0, roaming=1)""], ""network_generation"": [""product_info_cellular_5g: source:product_info_cellular: Cellular Technology LTE/4G/5G"", ""product_info_cellular_5g: source:product_info_cellular: Cellular Technology LTE/4G/5G"", ""product_info_cellular_4g_lte_signal_present_but_5g_capable_takes_precedence""], ""carrier_support_local"": [""SKT: DAILY HIGH-SPEED DATA FOR 30 DAYS: Enjoy unlimited data of high-speed data per day for 30 days in South Korea with SKT network; ideal for short trips "", ""SKT: Service Provider SK Telecom""], ""review_count"": [""detail_page: 21 global ratings""], ""is_bestseller"": [""Best Sellers Rank #27,202 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #58 in Cell Phone SIM Cards""], ""bestseller_rank"": [""Best Sellers Rank #27,202 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #58 in Cell Phone SIM Cards""], ""title"": [""ESIM Cards for International Travel, South Korea Prepaid eSIM Unlimited Data, 30-Day Plan, 4G LTE 5G Speed, Hotspot Supported, eSIM with Instant Activation in 10 Minutes""]}"
amazon_us,kr,Happy South Korea eSim - 30 Days Unlimited Data Travel eSim | No Daily Limit | 15GB of 5G/4G LTE High-Speed Data | Easy Activation | No Registration,19.99,10,,,,True,489,30일,30일,180일,local,5g_capable,"{""skt"": null, ""kt"": null, ""lgu"": null}",unlimited,https://www.amazon.com/Happy-South-Korea-eSim-Registration/dp/B0DBV8DC7N,B0DBV8DC7N,B0DBV8DC7N,HAPPY SIM,Visit the HAPPY TELECOM Store,"{""price_usd"": [""$19.99""], ""usage_validity"": [""Happy South Korea eSim - 30 Days Unlimited Data Travel eSim | No Daily Limit | 15GB of 5G/4G LTE High-Speed Data | Easy Activation | No Registration""], ""activation_validity"": [""KiwiSIM USA Data SIM Card 12GB 180 Days, 4G LTE SIM Card Support for AT&T, T-Mobile and Verizon, Nano Card for Unlocked Cellular Security Cameras/Router/Hotspot WiFi/Trail Camera (""], ""data_amount"": [""▶ Scan QR Code, no registration is required- unlimited data service, no calls/texts- after the usage reaches 15GB, service continues at a throttled speed of 256kbps- the service 30""], ""network_type"": [""▶ After installing eSIM, please ensure your original local SIM is OFF or disconnected, to avoid causing high roaming charges. Access Google, Facebook, Instagram, Youtube, Twitter &"", ""score: local=3, roaming=0""], ""network_generation"": [""product_info_cellular_5g: source:product_info_cellular: Cellular Technology 5G"", ""product_info_cellular_5g: source:product_info_cellular: Cellular Technology 5G""], ""review_count"": [""detail_page: 10 global ratings""], ""is_bestseller"": [""Best Sellers Rank #220,762 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #489 in Cell Phone SIM Cards""], ""bestseller_rank"": [""Best Sellers Rank #220,762 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #489 in Cell Phone SIM Cards""], ""title"": [""Happy South Korea eSim - 30 Days Unlimited Data Travel eSim | No Daily Limit | 15GB of 5G/4G LTE High-Speed Data | Easy Activation | No Registration""]}"
amazon_us,kr,"South Korea eSIM Card – Prepaid Data Plans | Fixed Data 15GB,30 Days | High-Speed 4G LTE | Ideal for Travelers",21.99,9,,,,True,504,30일,30일,180일,unknown,lte_4g_only,"{""skt"": null, ""kt"": null, ""lgu"": null}",15GB,https://www.amazon.com/South-Korea-eSIM-Card-High-Speed/dp/B0DSSZNZQT,B0DSSZNZQT,B0DSSZNZQT,Mossroam,Visit the mossroam Store,"{""price_usd"": [""$21.99""], ""usage_validity"": [""South Korea eSIM Card – Prepaid Data Plans | Fixed Data 15GB,30 Days | High-Speed 4G LTE | Ideal for Travelers""], ""activation_validity"": [""KiwiSIM USA Data SIM Card 12GB 180 Days, 4G LTE SIM Card Support for AT&T, T-Mobile and Verizon, Nano Card for Unlocked Cellular Security Cameras/Router/Hotspot WiFi/Trail Camera (""], ""data_amount"": [""Model Number 30 Days ,15GB Total""], ""network_type"": [""roaming_signal: Please use your eSIM card after you have arrived at your destination. When you turn on the roaming function, your card will be activated as soon as you arrive at your destination a"", ""insufficient_or_conflicting_signals(local=0, roaming=-1)""], ""network_generation"": [""product_info_cellular_4g_lte: source:product_info_cellular: Cellular Technology LTE"", ""product_info_cellular_4g_lte: source:product_info_cellular: Cellular Technology LTE""], ""review_count"": [""detail_page: 9 global ratings""], ""is_bestseller"": [""Best Sellers Rank #224,308 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #504 in Cell Phone SIM Cards""], ""bestseller_rank"": [""Best Sellers Rank #224,308 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #504 in Cell Phone SIM Cards""], ""title"": [""South Korea eSIM Card – Prepaid Data Plans | Fixed Data 15GB,30 Days | High-Speed 4G LTE | Ideal for Travelers""]}"
amazon_us,kr,"Aisa eSIM 20Days 15GB | Instant Email Delivery | 11 Countries Including Japan, South Korea, China, Thailand, and Singapore | 5G, 4G/LTE | Prepaid eSIM for Aisa Travel | Hotspot Supported | Data ONLY",24.35,22,,,,True,108,20일,20일,180일,local,lte_4g_only,"{""skt"": null, ""kt"": null, ""lgu"": null}",15GB,https://www.amazon.com/20Days-15GB-Countries-Including-Singapore/dp/B0FXB3V38J,B0FXB3V38J,B0FXB3V38J,Starway Mobile,Brand: Starway,"{""price_usd"": [""$24.35""], ""usage_validity"": [""Aisa eSIM 20Days 15GB | Instant Email Delivery | 11 Countries Including Japan, South Korea, China, Thailand, and Singapore | 5G, 4G/LTE | Prepaid eSIM for Aisa Travel | Hotspot Sup""], ""activation_validity"": [""KiwiSIM USA Data SIM Card 12GB 180 Days, 4G LTE SIM Card Support for AT&T, T-Mobile and Verizon, Nano Card for Unlocked Cellular Security Cameras/Router/Hotspot WiFi/Trail Camera (""], ""data_amount"": [""Aisa 15GB 20-Day eSIM: Enjoy 15GB of high-speed 4G/5G data for 20 days! After using the 15GB high-speed data, continue browsing with unlimited data at 256Kbps. Hotspot sharing is s""], ""network_type"": [""Instant Aisa eSIM: 15GB in 20 Days Get your eSIM instantly via email - Instant Access - Forget Shipping Delays! Visit our website (https://mcrmgr.umacaroon.com/starway), enter your"", ""score: local=3, roaming=1""], ""network_generation"": [""product_info_cellular_4g_lte: source:product_info_cellular: Cellular Technology LTE"", ""product_info_cellular_4g_lte: source:product_info_cellular: Cellular Technology LTE""], ""review_count"": [""detail_page: 22 global ratings""], ""is_bestseller"": [""Best Sellers Rank #46,617 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #108 in Cell Phone SIM Cards""], ""bestseller_rank"": [""Best Sellers Rank #46,617 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #108 in Cell Phone SIM Cards""], ""title"": [""Aisa eSIM 20Days 15GB | Instant Email Delivery | 11 Countries Including Japan, South Korea, China, Thailand, and Singapore | 5G, 4G/LTE | Prepaid eSIM for Aisa Travel | Hotspot Supported | Data ONLY""]}"
amazon_us,kr,"ESIM Cards for International Travel, South Korea Prepaid eSIM Unlimited Data, 15-Day Plan, 4G LTE 5G Speed, Hotspot Supported, eSIM with Instant Activation in 10 Minutes",23.99,21,,,,True,58,15일,15일,90일,unknown,5g_capable,"{""skt"": true, ""kt"": null, ""lgu"": null}",unlimited,https://www.amazon.com/International-Prepaid-Unlimited-Supported-Activation/dp/B0FR8VMJLP,B0FR8VMJLP,B0FR8VMJLP,WoWeSim,Visit the WoWeSim Store,"{""price_usd"": [""$23.99""], ""usage_validity"": [""ESIM Cards for International Travel, South Korea Prepaid eSIM Unlimited Data, 15-Day Plan, 4G LTE 5G Speed, Hotspot Supported, eSIM with Instant Activation in 10 Minutes""], ""activation_validity"": [""FAST AND EASY ESIM INSTALLATION: Activate your international travel eSIM quickly on a compatible smartphone. Simply scan the eSIM QR code sent via email to install the eSIM. Activa""], ""data_amount"": [""Amazon.com: ESIM Cards for International Travel, South Korea Prepaid eSIM Unlimited Data, 15-Day Plan, 4G LTE 5G Speed, Hotspot Supported, eSIM with Instant Activation in 10 Minute""], ""network_type"": [""roaming_signal: DAILY HIGH-SPEED DATA FOR 15 DAYS: Enjoy unilimited data of high-speed data per day for 15 days in South Korea with SKT network; ideal for short trips or business travel; stay conn"", ""insufficient_or_conflicting_signals(local=0, roaming=-1)""], ""network_generation"": [""product_info_cellular_5g: source:product_info_cellular: Cellular Technology LTE/4G/5G"", ""product_info_cellular_5g: source:product_info_cellular: Cellular Technology LTE/4G/5G"", ""product_info_cellular_4g_lte_signal_present_but_5g_capable_takes_precedence""], ""carrier_support_local"": [""SKT: DAILY HIGH-SPEED DATA FOR 15 DAYS: Enjoy unilimited data of high-speed data per day for 15 days in South Korea with SKT network; ideal for short trips""], ""review_count"": [""detail_page: 21 global ratings""], ""is_bestseller"": [""Best Sellers Rank #27,202 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #58 in Cell Phone SIM Cards""], ""bestseller_rank"": [""Best Sellers Rank #27,202 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #58 in Cell Phone SIM Cards""], ""title"": [""ESIM Cards for International Travel, South Korea Prepaid eSIM Unlimited Data, 15-Day Plan, 4G LTE 5G Speed, Hotspot Supported, eSIM with Instant Activation in 10 Minutes""]}"
amazon_us,kr,Explore All of Korea eSIM 10GB High-Speed 4G/5G LTE Data and Low Unlimited Data for 30 Days No Contract No Physical Sim Card and Support Hotspots,18.99,8,,,,True,370,1일,1일,30일,unknown,lte_4g_only,"{""skt"": true, ""kt"": null, ""lgu"": null}",10GB,https://www.amazon.com/High-Speed-Unlimited-Contract-Physical-Hotspots/dp/B0CR3Z51JM,B0CR3Z51JM,B0CR3Z51JM,shuoxing E-commerce,Visit the gtesim Store,"{""price_usd"": [""$18.99""], ""usage_validity"": [""✈Easy To Activate: Purchase the prepaid eSIM, get a redeem code to generate an eSIM QR code, scan the QR code to install the eSIM. The eSIM is considered to be activated when the d""], ""activation_validity"": [""Explore All of Korea eSIM 10GB High-Speed 4G/5G LTE Data and Low Unlimited Data for 30 Days No Contract No Physical Sim Card and Support Hotspots""], ""data_amount"": [""✈Package Details: It's eSim data only ,no physical Sim Card, no number, no calls & SMS, and it supports hotspots. You can enjoy 30 days of 10GB high speed data and unlimited speed ""], ""network_type"": [""local_signal: ✈Quality Network Services: Supported by local telecommunication carriers SKT, it offers 5G/4G/LTE internet speeds, with wide signal coverage, stable network and fast speed. The int"", ""roaming_signal: Product description When does my data plan start calculating? The validity period starts from the time you activate the mobile data roaming function. Except for Thailand, when the "", ""insufficient_or_conflicting_signals(local=20, roaming=5)""], ""network_generation"": [""product_info_cellular_4g_lte: source:product_info_cellular: Cellular Technology LTE"", ""product_info_cellular_4g_lte: source:product_info_cellular: Cellular Technology LTE""], ""carrier_support_local"": [""SKT: ✈Quality Network Services: Supported by local telecommunication carriers SKT, it offers 5G/4G/LTE internet speeds, with wide signal coverage, stable n"", ""SKT: Service Provider local carriers(SKT)""], ""review_count"": [""detail_page: 8 global ratings""], ""is_bestseller"": [""Best Sellers Rank #165,397 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #370 in Cell Phone SIM Cards""], ""bestseller_rank"": [""Best Sellers Rank #165,397 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #370 in Cell Phone SIM Cards""], ""title"": [""Explore All of Korea eSIM 10GB High-Speed 4G/5G LTE Data and Low Unlimited Data for 30 Days No Contract No Physical Sim Card and Support Hotspots""]}"
amazon_us,kr,"eSIM Korea (30 Days), 20GB High-Speed Data, Travel Data eSIM on South Korea's Top Network SKT, QR Code e-mailed Instantly, No Physical SIM Card, Compatible for iPhones & Androids",24.99,165,,,,True,571,30일,30일,30일,local,5g_capable,"{""skt"": true, ""kt"": null, ""lgu"": null}",20GB,https://www.amazon.com/30-Days-High-Speed-Instantly-Compatible/dp/B0F97J6MNN,B0F97J6MNN,B0F97J6MNN,Jethro Trading Ltd.,Visit the JETSIM Store,"{""price_usd"": [""$24.99""], ""usage_validity"": [""eSIM Korea (30 Days), 20GB High-Speed Data, Travel Data eSIM on South Korea's Top Network SKT, QR Code e-mailed Instantly, No Physical SIM Card, Compatible for iPhones & Androids""], ""activation_validity"": [""Product description Can I use my eSIM immediately after purchase? Yes. Simply submit the claim form, and we will deliver your eSIM to your email right away. Do I need to activate m""], ""data_amount"": [""[Fast & Reliable Data] 20GB at high-speed + unlimited basic data for 30 days - ideal for maps, social media, and emails.""], ""network_type"": [""[Instant Activation] Connects automatically with local carriers when you arrive in Korea. No SIM swapping, no setup—just scan and go."", ""score: local=3, roaming=1""], ""network_generation"": [""product_info_cellular_5g: source:product_info_cellular: Cellular Technology 5G/4G"", ""product_info_cellular_5g: source:product_info_cellular: Cellular Technology 5G/4G""], ""carrier_support_local"": [""SKT: Service Provider SKT"", ""SKT: Amazon.com: JetSIM eSIM Korea (30 Days), 20GB High-Speed Data, Travel Data eSIM on South Korea's Top Network SKT, QR Code e-mailed Instantly, No Physi"", ""SKT: JetSIM eSIM Korea (30 Days), 20GB High-Speed Data, Travel Data eSIM on South Korea&#39;s Top Network SKT, QR Code e-mailed Instantly, No Physical SIM "", ""SKT: JetSIM eSIM Korea (30 Days), 20GB High-Speed Data, Travel Data eSIM on South Korea's Top Network SKT, QR Code e-mailed Instantly, No Physical SIM Card"", ""SKT: JetSIM eSIM Korea (30 Days), 20GB High-Speed Data, Travel Data eSIM on South Korea's Top Network SKT, QR Code e-mailed Instantly, No Physical SIM Card"", ""SKT: Amazon.com: JetSIM eSIM Korea (30 Days), 20GB High-Speed Data, Travel Data eSIM on South Korea's Top Network SKT, QR Code e-mailed Instantly, No Physi""], ""review_count"": [""detail_page: 165""], ""is_bestseller"": [""Best Sellers Rank #256,578 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #571 in Cell Phone SIM Cards""], ""bestseller_rank"": [""Best Sellers Rank #256,578 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #571 in Cell Phone SIM Cards""], ""title"": [""eSIM Korea (30 Days), 20GB High-Speed Data, Travel Data eSIM on South Korea's Top Network SKT, QR Code e-mailed Instantly, No Physical SIM Card, Compatible for iPhones & Androids""]}"
amazon_us,kr,Asia eSIM 10 Countries 30 Days 10GB Japan Compatible 5G/4G Data-Only Prepaid eSIM for Unlocked Devices QR Code Instant Delivery Easy Setup Travel SIM with Japanese Support Korea Taiwan China | DHA SIM,19.99,165,,,,True,179,30일,30일,,unknown,5g_capable,"{""skt"": null, ""kt"": null, ""lgu"": true}",10GB,https://www.amazon.com/Countries-10GB-Compatible-SIM-DHA/dp/B0H1W8TTN3,B0H1W8TTN3,B0H1W8TTN3,DHA Corporation Co. Ltd,Visit the DHA SIM Store,"{""price_usd"": [""$19.99""], ""usage_validity"": [""Asia eSIM 10 Countries 30 Days 10GB Japan Compatible 5G/4G Data-Only Prepaid eSIM for Unlocked Devices QR Code Instant Delivery Easy Setup Travel SIM with Japanese Support Korea Ta""], ""data_amount"": [""【Coverage】10 Asian Countries Supported【Data Allowance】10GB""], ""network_type"": [""no_local_or_roaming_keyword_matched""], ""network_generation"": [""product_detail_5g: source:feature_bullets: 【Validity Period】30 Days【Network】Supports 5G / 4G LTE"", ""product_detail_5g: source:feature_bullets: 【Supported Network Carriers】Japan: KDDI 5G/4G、South Korea: LG U+ 5G/4G/3G、Taiwan: Chunghwa Telecom 5G/4G/3G、China: China Mobile 5G/4G/3G、Hong Kong: CMHK 4G/""], ""carrier_support_local"": [""LGU+: 【Supported Network Carriers】Japan: KDDI 5G/4G、South Korea: LG U+ 5G/4G/3G、Taiwan: Chunghwa Telecom 5G/4G/3G、China: China Mobile 5G/4G/3G、Hong Kong: CM""], ""review_count"": [""detail_page: 165 global ratings""], ""is_bestseller"": [""Best Sellers Rank #76,223 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #179 in Cell Phone SIM Cards""], ""bestseller_rank"": [""Best Sellers Rank #76,223 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #179 in Cell Phone SIM Cards""], ""title"": [""Asia eSIM 10 Countries 30 Days 10GB Japan Compatible 5G/4G Data-Only Prepaid eSIM for Unlocked Devices QR Code Instant Delivery Easy Setup Travel SIM with Japanese Support Korea Taiwan China | DHA SIM""]}"
amazon_us,kr,South Korea eSIM | 3GB Super Economy Refillable Plan! QR Code Sent via Email in 24Hrs - Scan & Use Immediately | Auto Activating 30 Day Validity | Hotspot Allowed | Data-Only No Phone Number,9.99,1,,,,True,1011,30일,30일,180일,local,lte_4g_only,"{""skt"": null, ""kt"": null, ""lgu"": null}",3GB,https://www.amazon.com/Korea-eSIM-3GB-Economy-Refillable/dp/B0DTZ4H9BQ,B0DTZ4H9BQ,B0DTZ4H9BQ,TSIM Cards,Visit the TSIM Store,"{""price_usd"": [""$9.99""], ""usage_validity"": [""South Korea eSIM | 3GB Super Economy Refillable Plan! QR Code Sent via Email in 24Hrs - Scan & Use Immediately | Auto Activating 30 Day Validity | Hotspot Allowed | Data-Only No Ph""], ""activation_validity"": [""KiwiSIM USA Data SIM Card 12GB 180 Days, 4G LTE SIM Card Support for AT&T, T-Mobile and Verizon, Nano Card for Unlocked Cellular Security Cameras/Router/Hotspot WiFi/Trail Camera (""], ""data_amount"": [""HIGH SPEED 5G/4G DATA: Enjoy up to 3GB of high-speed 5G/4G internet. Hotspot tethering is supported.""], ""network_type"": [""DAEJEON, SOUTH KOREA TRAVEL GUIDE: Local Food, Nightlife, Travel Tips for Daejeon, South Korea 2025–2026"", ""TSIM Prepaid USA SIM Card for Travel | Unlimited High Data, Unlimited Local Calls and Text for 30..."", ""score: local=4, roaming=-2""], ""network_generation"": [""product_info_cellular_4g_lte: source:product_info_cellular: Cellular Technology LTE"", ""product_info_cellular_4g_lte: source:product_info_cellular: Cellular Technology LTE""], ""review_count"": [""detail_page: 1 global rating""], ""is_bestseller"": [""Best Sellers Rank #506,467 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #1,011 in Cell Phone SIM Cards""], ""bestseller_rank"": [""Best Sellers Rank #506,467 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #1,011 in Cell Phone SIM Cards""], ""title"": [""South Korea eSIM | 3GB Super Economy Refillable Plan! QR Code Sent via Email in 24Hrs - Scan & Use Immediately | Auto Activating 30 Day Validity | Hotspot Allowed | Data-Only No Phone Number""]}"
