site,country,title,price_usd,review_count,seller_badge,search_position,monthly_sold_count,is_bestseller,bestseller_rank,validity,usage_validity,activation_validity,network_type,network_generation,carrier_support_local,data_amount,product_url,asin,site_product_id,seller,brand,evidence
amazon_us,mo,"Prepaid eSIM for Mainland China, Hong Kong, Macau, Taiwan | 15-Day Unlimited | Get QR Code Instantly | 4G LTE High-Speed Network | No VPN Required | Hotspot Allow| No-Contract for Unlocked Phones",28.49,22,,,,True,264,15일,15일,180일,unknown,lte_4g_only,"{""ctm"": null, ""china_telecom_macau"": null, ""three_macau"": null}",unlimited,https://www.amazon.com/eSIM-15-Day-Unlimited-Get-No-Contract/dp/B0GTNVKN3X,B0GTNVKN3X,B0GTNVKN3X,STAR VENTURE,Visit the UROZETTA Store,"{""price_usd"": [""$28.49""], ""usage_validity"": [""Prepaid eSIM for Mainland China, Hong Kong, Macau, Taiwan | 15-Day Unlimited | Get QR Code Instantly | 4G LTE High-Speed Network | No VPN Required | Hotspot Allow| No-Contract for ""], ""activation_validity"": [""KiwiSIM USA Data SIM Card 12GB 180 Days, 4G LTE SIM Card Support for AT&T, T-Mobile and Verizon, Nano Card for Unlocked Cellular Security Cameras/Router/Hotspot WiFi/Trail Camera (""], ""data_amount"": [""15-Day Unlimited Prepaid eSIM: Enjoy a 15-Day unlimited data plan with 5GB of 5G/4G LTE high-speed coverage across Mainland China, Hong Kong, Macau, and Taiwan. Perfect for travele""], ""network_type"": [""no_local_or_roaming_keyword_matched""], ""network_generation"": [""product_info_cellular_4g_lte: source:product_info_cellular: Cellular Technology LTE"", ""product_info_cellular_4g_lte: source:product_info_cellular: Cellular Technology LTE""], ""review_count"": [""detail_page: 22""], ""is_bestseller"": [""Best Sellers Rank #115,936 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #264 in Cell Phone SIM Cards""], ""bestseller_rank"": [""Best Sellers Rank #115,936 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #264 in Cell Phone SIM Cards""], ""title"": [""Prepaid eSIM for Mainland China, Hong Kong, Macau, Taiwan | 15-Day Unlimited | Get QR Code Instantly | 4G LTE High-Speed Network | No VPN Required | Hotspot Allow| No-Contract for Unlocked Phones""]}"
amazon_us,mo,"Prepaid eSIM for Mainland China, Hong Kong, Macau, Taiwan | 7-Day Unlimited | Get QR Code Instantly | 4G LTE High-Speed Network | No VPN Required | Hotspot Allow| No-Contract for Unlocked Phones",17.99,59,,,,True,222,7일,7일,180일,unknown,lte_4g_only,"{""ctm"": null, ""china_telecom_macau"": null, ""three_macau"": null}",unlimited,https://www.amazon.com/eSIM-7-Day-Unlimited-Get-No-Contract/dp/B0GTNQ8358,B0GTNQ8358,B0GTNQ8358,STAR VENTURE,Visit the UROZETTA Store,"{""price_usd"": [""$17.99""], ""usage_validity"": [""Prepaid eSIM for Mainland China, Hong Kong, Macau, Taiwan | 7-Day Unlimited | Get QR Code Instantly | 4G LTE High-Speed Network | No VPN Required | Hotspot Allow| No-Contract for U""], ""activation_validity"": [""KiwiSIM USA Data SIM Card 12GB 180 Days, 4G LTE SIM Card Support for AT&T, T-Mobile and Verizon, Nano Card for Unlocked Cellular Security Cameras/Router/Hotspot WiFi/Trail Camera (""], ""data_amount"": [""7-Day Unlimited Prepaid eSIM: Enjoy a 7-Day unlimited data plan with 5GB of 5G/4G LTE high-speed coverage across Mainland China, Hong Kong, Macau, and Taiwan. Perfect for travelers""], ""network_type"": [""insufficient_or_conflicting_signals(local=0, roaming=-2)""], ""network_generation"": [""product_info_cellular_4g_lte: source:product_info_cellular: Cellular Technology LTE"", ""product_info_cellular_4g_lte: source:product_info_cellular: Cellular Technology LTE""], ""review_count"": [""detail_page: 59""], ""is_bestseller"": [""Best Sellers Rank #98,249 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #222 in Cell Phone SIM Cards""], ""bestseller_rank"": [""Best Sellers Rank #98,249 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #222 in Cell Phone SIM Cards""], ""title"": [""Prepaid eSIM for Mainland China, Hong Kong, Macau, Taiwan | 7-Day Unlimited | Get QR Code Instantly | 4G LTE High-Speed Network | No VPN Required | Hotspot Allow| No-Contract for Unlocked Phones""]}"
amazon_us,mo,"Prepaid eSIM for Mainland China, Hong Kong, Macau, Taiwan | 5GB 7Day Plan Data | Get QR Code Instantly | 4G LTE High-Speed Network | No VPN Required | Hotspot Allow| No-Contract for Unlocked Phones",9.99,8,,,,True,243,7일,7일,180일,local,lte_4g_only,"{""ctm"": null, ""china_telecom_macau"": null, ""three_macau"": null}",5GB,https://www.amazon.com/5GB-Mainland-High-Speed-Activation-No-Contract/dp/B0DR8XYVPG,B0DR8XYVPG,B0DR8XYVPG,STAR VENTURE,Visit the UROZETTA Store,"{""price_usd"": [""$9.99""], ""usage_validity"": [""Prepaid eSIM for Mainland China, Hong Kong, Macau, Taiwan | 5GB 7Day Plan Data | Get QR Code Instantly | 4G LTE High-Speed Network | No VPN Required | Hotspot Allow| No-Contract fo""], ""activation_validity"": [""KiwiSIM USA Data SIM Card 12GB 180 Days, 4G LTE SIM Card Support for AT&T, T-Mobile and Verizon, Nano Card for Unlocked Cellular Security Cameras/Router/Hotspot WiFi/Trail Camera (""], ""data_amount"": [""5GB 7-Day Prepaid eSIM: Enjoy a 7-day plan with 5GB of 5G/4G LTE high-speed coverage across Mainland China, Hong Kong, Macau, and Taiwan. Perfect for travelers and business profess""], ""network_type"": [""Product description Previous page Next page 1 Fast eSIM Network 2 Apps Travel With You 3 Turn eSIM into WiFi 4 Snap QR, Get eSIM 5 Instant eSIM Activation Previous page Reliable 4G"", ""score: local=3, roaming=1""], ""network_generation"": [""product_info_cellular_4g_lte: source:product_info_cellular: Cellular Technology LTE"", ""product_info_cellular_4g_lte: source:product_info_cellular: Cellular Technology LTE""], ""review_count"": [""detail_page: 8 global ratings""], ""is_bestseller"": [""Best Sellers Rank #105,350 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #243 in Cell Phone SIM Cards""], ""bestseller_rank"": [""Best Sellers Rank #105,350 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #243 in Cell Phone SIM Cards""], ""title"": [""Prepaid eSIM for Mainland China, Hong Kong, Macau, Taiwan | 5GB 7Day Plan Data | Get QR Code Instantly | 4G LTE High-Speed Network | No VPN Required | Hotspot Allow| No-Contract for Unlocked Phones""]}"
amazon_us,mo,"Prepaid eSIM Card 10GB 30Day for Mainland China, Hong Kong, Macau, Taiwan | Get QR Code Instantly | No VPN Required | 5G/4G LTE High-Speed Internet | Hotspot Allow |No-Contract for Unlocked Phones",17.09,10,,,,True,325,30일,30일,180일,unknown,lte_4g_only,"{""ctm"": null, ""china_telecom_macau"": null, ""three_macau"": null}",10GB,https://www.amazon.com/10GB-Mainland-High-Speed-Activation-No-Contract/dp/B0F5B7KMX5,B0F5B7KMX5,B0F5B7KMX5,Visit the UROZETTA Store,Visit the UROZETTA Store,"{""price_usd"": [""Price $17.09""], ""usage_validity"": [""Prepaid eSIM Card 10GB 30Day for Mainland China, Hong Kong, Macau, Taiwan | Get QR Code Instantly | No VPN Required | 5G/4G LTE High-Speed Internet | Hotspot Allow |No-Contract for""], ""activation_validity"": [""KiwiSIM USA Data SIM Card 12GB 180 Days, 4G LTE SIM Card Support for AT&T, T-Mobile and Verizon, Nano Card for Unlocked Cellular Security Cameras/Router/Hotspot WiFi/Trail Camera (""], ""data_amount"": [""10GB 30-days Prepaid eSIM: Enjoy a 30-day plan with 10GB of 5G/4G LTE high-speed coverage across Mainland China, Hong Kong, Macau, and Taiwan. Perfect for travelers and business pr""], ""network_type"": [""local_signal: Product description Previous page Next page 1 Fast eSIM Network 2 Apps Travel With You 3 Turn eSIM into WiFi 4 Snap QR, Get eSIM 5 Instant eSIM Activation Previous page Reliable 4G"", ""roaming_signal: Product description Previous page Next page 1 Fast eSIM Network 2 Apps Travel With You 3 Turn eSIM into WiFi 4 Snap QR, Get eSIM 5 Instant eSIM Activation Previous page Reliable 4G"", ""insufficient_or_conflicting_signals(local=3, roaming=3)""], ""network_generation"": [""product_info_cellular_4g_lte: source:product_info_cellular: Cellular Technology LTE"", ""product_info_cellular_4g_lte: source:product_info_cellular: Cellular Technology LTE""], ""review_count"": [""detail_page: 10 global ratings""], ""is_bestseller"": [""Best Sellers Rank #144,573 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #325 in Cell Phone SIM Cards""], ""bestseller_rank"": [""Best Sellers Rank #144,573 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #325 in Cell Phone SIM Cards""], ""title"": [""Prepaid eSIM Card 10GB 30Day for Mainland China, Hong Kong, Macau, Taiwan | Get QR Code Instantly | No VPN Required | 5G/4G LTE High-Speed Internet | Hotspot Allow |No-Contract for Unlocked Phones""]}"
amazon_us,mo,"Prepaid eSIM for Mainland China, Hong Kong, Macau, Taiwan | 20GB 30Day Plan Data | Get QR Code Instantly | 4G LTE High-Speed Network | No VPN Required | Hotspot Allow| No-Contract for Unlocked Phones",34.19,10,,,,True,197,30일,30일,180일,unknown,lte_4g_only,"{""ctm"": null, ""china_telecom_macau"": null, ""three_macau"": null}",20GB,https://www.amazon.com/eSIM-20GB-Get-High-Speed-No-Contract/dp/B0GTM51CN4,B0GTM51CN4,B0GTM51CN4,STAR VENTURE,Brand: ＵＲＯＺＥＴＴＡ,"{""price_usd"": [""$34.19""], ""usage_validity"": [""Prepaid eSIM for Mainland China, Hong Kong, Macau, Taiwan | 20GB 30Day Plan Data | Get QR Code Instantly | 4G LTE High-Speed Network | No VPN Required | Hotspot Allow| No-Contract ""], ""activation_validity"": [""KiwiSIM USA Data SIM Card 12GB 180 Days, 4G LTE SIM Card Support for AT&T, T-Mobile and Verizon, Nano Card for Unlocked Cellular Security Cameras/Router/Hotspot WiFi/Trail Camera (""], ""data_amount"": [""20GB 30-Day Prepaid eSIM: Enjoy a 30-day plan with 20GB of 5G/4G LTE high-speed coverage across Mainland China, Hong Kong, Macau, and Taiwan. Perfect for travelers and business pro""], ""network_type"": [""insufficient_or_conflicting_signals(local=0, roaming=-2)""], ""network_generation"": [""product_info_cellular_4g_lte: source:product_info_cellular: Cellular Technology LTE"", ""product_info_cellular_4g_lte: source:product_info_cellular: Cellular Technology LTE""], ""review_count"": [""detail_page: 10""], ""is_bestseller"": [""Best Sellers Rank #85,089 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #197 in Cell Phone SIM Cards""], ""bestseller_rank"": [""Best Sellers Rank #85,089 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #197 in Cell Phone SIM Cards""], ""title"": [""Prepaid eSIM for Mainland China, Hong Kong, Macau, Taiwan | 20GB 30Day Plan Data | Get QR Code Instantly | 4G LTE High-Speed Network | No VPN Required | Hotspot Allow| No-Contract for Unlocked Phones""]}"
amazon_us,mo,"China eSIM - 10GB Data for 30 Days | Mainland China & Macau | Free Test Data in Canada | Unrestricted Internet Access | Supports Google, Facebook, Whatsapp, Instagram & More",27.99,9,,,,True,61,1일,1일,30일,unknown,5g_capable,"{""ctm"": null, ""china_telecom_macau"": null, ""three_macau"": null}",10GB,https://www.amazon.com/China-eSIM-Mainland-Unrestricted-Instagram/dp/B0F2HR396M,B0F2HR396M,B0F2HR396M,USBelieve Direct,Brand: SIM2ROAM,"{""price_usd"": [""$27.99""], ""usage_validity"": [""🎁 Free Test Data in USA – Activate your eSIM with a free 100MB test data allowance for 1 day in USA before you travel for a stress-free experience.""], ""activation_validity"": [""China eSIM - 10GB Data for 30 Days | Mainland China & Macau | Free Test Data in Canada | Unrestricted Internet Access | Supports Google, Facebook, Whatsapp, Instagram & More""], ""data_amount"": [""China eSIM Plan - Enjoy 10GB of high-speed data for 30 days with seamless connectivity while traveling in China and Macau.""], ""network_type"": [""local_signal: China Data ONLY eSIM Card 30 Days | 10GB of 5G LTE Internet Data Plan details Good for 30 days (starts from first connection to local network in China). 10GB 5G/4G LTE high-speed I"", ""roaming_signal: China Data ONLY eSIM Card 30 Days | 10GB of 5G LTE Internet Data Plan details Good for 30 days (starts from first connection to local network in China). 10GB 5G/4G LTE high-speed I"", ""insufficient_or_conflicting_signals(local=6, roaming=3)""], ""network_generation"": [""product_info_cellular_5g: source:product_info_cellular: Cellular Technology 5G, 4G LTE"", ""product_info_cellular_5g: source:product_info_cellular: Cellular Technology 5G, 4G LTE""], ""review_count"": [""detail_page: 9 global ratings""], ""is_bestseller"": [""Best Sellers Rank #28,081 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #61 in Cell Phone SIM Cards""], ""bestseller_rank"": [""Best Sellers Rank #28,081 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #61 in Cell Phone SIM Cards""], ""title"": [""China eSIM - 10GB Data for 30 Days | Mainland China & Macau | Free Test Data in Canada | Unrestricted Internet Access | Supports Google, Facebook, Whatsapp, Instagram & More""]}"
amazon_us,mo,"Prepaid China eSIM Data: 10GB High-Speed Data for 30 Days,Explore Beijing, Shanghai, Great Wall & More, Seamless Roaming in Mainland China, Hong Kong, Macau, No Contract, Hotspot Support, No SIM Card",17.99,16,,,,True,173,1일,1일,30일,unknown,lte_4g_only,"{""ctm"": null, ""china_telecom_macau"": null, ""three_macau"": null}",10GB,https://www.amazon.com/Seamless-Mainland-High-Speed-Unlimited-Contract/dp/B0CR3ZT7JC,B0CR3ZT7JC,B0CR3ZT7JC,shuoxing E-commerce,Visit the gtesim Store,"{""price_usd"": [""$17.99""], ""usage_validity"": [""✈Easy To Activate: Purchase the prepaid eSIM, get a redeem code to generate an eSIM QR code, scan the QR code to install the eSIM. The eSIM is considered to be activated when the d""], ""activation_validity"": [""Prepaid China eSIM Data: 10GB High-Speed Data for 30 Days,Explore Beijing, Shanghai, Great Wall & More, Seamless Roaming in Mainland China, Hong Kong, Macau, No Contract, Hotspot S""], ""data_amount"": [""✈Package Details: It's eSim Data only ,no physical Sim Card, no number, no calls & SMS, and it supports hotspots. You can enjoy 30 days of 10GB high speed data and unlimited speed ""], ""network_type"": [""local_signal: ✈Quality Network Services: Supported by local telecommunication carriers, it offers 5G/4G/LTE internet speeds, with wide signal coverage, stable network and fast speed. The interne"", ""roaming_signal: Prepaid China eSIM Data: 10GB High-Speed Data for 30 Days,Explore Beijing, Shanghai, Great Wall & More, Seamless Roaming in Mainland China, Hong Kong, Macau, No Contract, Hotspot S"", ""insufficient_or_conflicting_signals(local=21, roaming=8)""], ""network_generation"": [""product_info_cellular_4g_lte: source:product_info_cellular: Cellular Technology LTE"", ""product_info_cellular_4g_lte: source:product_info_cellular: Cellular Technology LTE""], ""review_count"": [""detail_page: 16 global ratings""], ""is_bestseller"": [""Best Sellers Rank #73,133 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #173 in Cell Phone SIM Cards""], ""bestseller_rank"": [""Best Sellers Rank #73,133 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #173 in Cell Phone SIM Cards""], ""title"": [""Prepaid China eSIM Data: 10GB High-Speed Data for 30 Days,Explore Beijing, Shanghai, Great Wall & More, Seamless Roaming in Mainland China, Hong Kong, Macau, No Contract, Hotspot Support, No SIM Card""]}"
amazon_us,mo,"China eSIM: 20GB High-Speed Data for 30 Days,Explore Beijing, Shanghai, Great Wall & More, Seamless Roaming in Mainland China, Hong Kong, Macau, No Contract, Hotspot Support, No SIM Card",27.99,16,,,,True,173,1일,1일,30일,unknown,lte_4g_only,"{""ctm"": null, ""china_telecom_macau"": null, ""three_macau"": null}",20GB,https://www.amazon.com/Seamless-Mainland-High-Speed-Unlimited-Contract/dp/B0CR3QK76C,B0CR3QK76C,B0CR3QK76C,shuoxing E-commerce,Visit the gtesim Store,"{""price_usd"": [""$27.99""], ""usage_validity"": [""✈Easy To Activate: Purchase the prepaid eSIM, get a redeem code to generate an eSIM QR code, scan the QR code to install the eSIM. The eSIM is considered to be activated when the d""], ""activation_validity"": [""China eSIM: 20GB High-Speed Data for 30 Days,Explore Beijing, Shanghai, Great Wall & More, Seamless Roaming in Mainland China, Hong Kong, Macau, No Contract, Hotspot Support, No SI""], ""data_amount"": [""✈Package Details: It's eSim Data only ,no physical Sim Card, no number, no calls & SMS, and it supports hotspots. You can enjoy 30 days of 20GB high speed data and unlimited speed ""], ""network_type"": [""local_signal: ✈Quality Network Services: Supported by local telecommunication carriers, it offers 5G/4G/LTE internet speeds, with wide signal coverage, stable network and fast speed. The interne"", ""roaming_signal: China eSIM: 20GB High-Speed Data for 30 Days,Explore Beijing, Shanghai, Great Wall & More, Seamless Roaming in Mainland China, Hong Kong, Macau, No Contract, Hotspot Support, No SI"", ""insufficient_or_conflicting_signals(local=21, roaming=8)""], ""network_generation"": [""product_info_cellular_4g_lte: source:product_info_cellular: Cellular Technology LTE"", ""product_info_cellular_4g_lte: source:product_info_cellular: Cellular Technology LTE""], ""review_count"": [""detail_page: 16 global ratings""], ""is_bestseller"": [""Best Sellers Rank #73,133 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #173 in Cell Phone SIM Cards""], ""bestseller_rank"": [""Best Sellers Rank #73,133 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #173 in Cell Phone SIM Cards""], ""title"": [""China eSIM: 20GB High-Speed Data for 30 Days,Explore Beijing, Shanghai, Great Wall & More, Seamless Roaming in Mainland China, Hong Kong, Macau, No Contract, Hotspot Support, No SIM Card""]}"
amazon_us,mo,"Prepaid SIM Card 10GB 30Days for Mainland China, Hong Kong, Macau, Taiwan | No VPN Required | 5G/4G High-Speed with Hotspot | Easy Setup | 3-in-1 Data-Only | for Travel, Business & Unlocked Phones",18.99,2020,,,,True,264,30일,30일,180일,unknown,lte_4g_only,"{""ctm"": null, ""china_telecom_macau"": null, ""three_macau"": null}",10GB,https://www.amazon.com/SIM-10GB-Mainland-High-Speed-Data-Only/dp/B0GTQ743FT,B0GTQ743FT,B0GTQ743FT,STAR VENTURE,Visit the UROZETTA Store,"{""price_usd"": [""$18.99""], ""usage_validity"": [""Prepaid SIM Card 10GB 30Days for Mainland China, Hong Kong, Macau, Taiwan | No VPN Required | 5G/4G High-Speed with Hotspot | Easy Setup | 3-in-1 Data-Only | for Travel, Business &""], ""activation_validity"": [""KiwiSIM USA Data SIM Card 12GB 180 Days, 4G LTE SIM Card Support for AT&T, T-Mobile and Verizon, Nano Card for Unlocked Cellular Security Cameras/Router/Hotspot WiFi/Trail Camera (""], ""data_amount"": [""Enjoy High-Speed Network:10GB of high-speed data valid for 30 days on 5G/4G LTE networks. Simply insert the SIM card to enable roaming. Get online instantly without VPN, and it aut""], ""network_type"": [""local_signal: Enjoy High-Speed Network:10GB of high-speed data valid for 30 days on 5G/4G LTE networks. Simply insert the SIM card to enable roaming. Get online instantly without VPN, and it aut"", ""roaming_signal: Enjoy High-Speed Network:10GB of high-speed data valid for 30 days on 5G/4G LTE networks. Simply insert the SIM card to enable roaming. Get online instantly without VPN, and it aut"", ""insufficient_or_conflicting_signals(local=1, roaming=1)""], ""network_generation"": [""product_info_cellular_4g_lte: source:product_info_cellular: Cellular Technology LTE"", ""product_info_cellular_4g_lte: source:product_info_cellular: Cellular Technology LTE""], ""review_count"": [""detail_page: 2,020""], ""is_bestseller"": [""Best Sellers Rank #115,936 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #264 in Cell Phone SIM Cards""], ""bestseller_rank"": [""Best Sellers Rank #115,936 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #264 in Cell Phone SIM Cards""], ""title"": [""Prepaid SIM Card 10GB 30Days for Mainland China, Hong Kong, Macau, Taiwan | No VPN Required | 5G/4G High-Speed with Hotspot | Easy Setup | 3-in-1 Data-Only | for Travel, Business & Unlocked Phones""]}"
amazon_us,mo,China SIM Card 30 Days 20GB | Hong Kong & Macau Coverage | High-Speed 5G/4G Data | Hotspot Supported | Refillable Plan | Auto-Activation | Data-Only (No Phone Number) | 24×6 Support,22.99,12,,,,True,301,30일,30일,180일,unknown,lte_4g_only,"{""ctm"": null, ""china_telecom_macau"": null, ""three_macau"": null}",20GB,https://www.amazon.com/30-20GB-High-Speed-Refillable-Auto-Activation/dp/B0G596DJYH,B0G596DJYH,B0G596DJYH,TSIM Cards,Visit the TSIM Store,"{""price_usd"": [""$22.99""], ""usage_validity"": [""China SIM Card 30 Days 20GB | Hong Kong & Macau Coverage | High-Speed 5G/4G Data | Hotspot Supported | Refillable Plan | Auto-Activation | Data-Only (No Phone Number) | 24×6 Suppor""], ""activation_validity"": [""KiwiSIM USA Data SIM Card 12GB 180 Days, 4G LTE SIM Card Support for AT&T, T-Mobile and Verizon, Nano Card for Unlocked Cellular Security Cameras/Router/Hotspot WiFi/Trail Camera (""], ""data_amount"": [""HIGH SPEED 5G/4G DATA: Enjoy 20GB of high-speed 5G/4G internet valid for 30Days in China, Hong Kong and Macau. Hotspot tethering is supported.""], ""network_type"": [""roaming_signal: 5G/4G high-speed internet data Available for hotspot tethering (mobile phones only) and tablets. No phone number, refills possible through InstaSIM App . No activation registration"", ""insufficient_or_conflicting_signals(local=0, roaming=1)""], ""network_generation"": [""product_info_cellular_4g_lte: source:product_info_cellular: Cellular Technology LTE"", ""product_info_cellular_4g_lte: source:product_info_cellular: Cellular Technology LTE""], ""review_count"": [""detail_page: 12 global ratings""], ""is_bestseller"": [""Best Sellers Rank #133,597 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #301 in Cell Phone SIM Cards""], ""bestseller_rank"": [""Best Sellers Rank #133,597 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #301 in Cell Phone SIM Cards""], ""title"": [""China SIM Card 30 Days 20GB | Hong Kong & Macau Coverage | High-Speed 5G/4G Data | Hotspot Supported | Refillable Plan | Auto-Activation | Data-Only (No Phone Number) | 24×6 Support""]}"
