site,country,title,price_usd,review_count,seller_badge,search_position,monthly_sold_count,is_bestseller,bestseller_rank,validity,usage_validity,activation_validity,network_type,network_generation,carrier_support_local,data_amount,product_url,asin,site_product_id,seller,brand,evidence
amazon_us,hk,"Prepaid eSIM for Mainland China, Hong Kong, Macau, Taiwan | 7-Day Unlimited | Get QR Code Instantly | 4G LTE High-Speed Network | No VPN Required | Hotspot Allow| No-Contract for Unlocked Phones",17.99,18534,,,,True,222,7일,7일,180일,unknown,lte_4g_only,"{""cmhk"": null, ""csl"": null, ""smartone"": null, ""three_hk"": null}",unlimited,https://www.amazon.com/eSIM-7-Day-Unlimited-Get-No-Contract/dp/B0GTNQ8358,B0GTNQ8358,B0GTNQ8358,STAR VENTURE,Visit the UROZETTA Store,"{""price_usd"": [""$17.99""], ""usage_validity"": [""Prepaid eSIM for Mainland China, Hong Kong, Macau, Taiwan | 7-Day Unlimited | Get QR Code Instantly | 4G LTE High-Speed Network | No VPN Required | Hotspot Allow| No-Contract for U""], ""activation_validity"": [""KiwiSIM USA Data SIM Card 12GB 180 Days, 4G LTE SIM Card Support for AT&T, T-Mobile and Verizon, Nano Card for Unlocked Cellular Security Cameras/Router/Hotspot WiFi/Trail Camera (""], ""data_amount"": [""7-Day Unlimited Prepaid eSIM: Enjoy a 7-Day unlimited data plan with 5GB of 5G/4G LTE high-speed coverage across Mainland China, Hong Kong, Macau, and Taiwan. Perfect for travelers""], ""network_type"": [""insufficient_or_conflicting_signals(local=0, roaming=-2)""], ""network_generation"": [""product_info_cellular_4g_lte: source:product_info_cellular: Cellular Technology LTE"", ""product_info_cellular_4g_lte: source:product_info_cellular: Cellular Technology LTE""], ""review_count"": [""detail_page: 18,534""], ""is_bestseller"": [""Best Sellers Rank #98,249 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #222 in Cell Phone SIM Cards""], ""bestseller_rank"": [""Best Sellers Rank #98,249 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #222 in Cell Phone SIM Cards""], ""title"": [""Prepaid eSIM for Mainland China, Hong Kong, Macau, Taiwan | 7-Day Unlimited | Get QR Code Instantly | 4G LTE High-Speed Network | No VPN Required | Hotspot Allow| No-Contract for Unlocked Phones""]}"
amazon_us,hk,"Prepaid eSIM Card 10GB 30Day for Mainland China, Hong Kong, Macau, Taiwan | Get QR Code Instantly | No VPN Required | 5G/4G LTE High-Speed Internet | Hotspot Allow |No-Contract for Unlocked Phones",17.09,10,,,,True,325,30일,30일,180일,unknown,lte_4g_only,"{""cmhk"": null, ""csl"": null, ""smartone"": null, ""three_hk"": null}",10GB,https://www.amazon.com/10GB-Mainland-High-Speed-Activation-No-Contract/dp/B0F5B7KMX5,B0F5B7KMX5,B0F5B7KMX5,Visit the UROZETTA Store,Visit the UROZETTA Store,"{""price_usd"": [""Price $17.09""], ""usage_validity"": [""Prepaid eSIM Card 10GB 30Day for Mainland China, Hong Kong, Macau, Taiwan | Get QR Code Instantly | No VPN Required | 5G/4G LTE High-Speed Internet | Hotspot Allow |No-Contract for""], ""activation_validity"": [""KiwiSIM USA Data SIM Card 12GB 180 Days, 4G LTE SIM Card Support for AT&T, T-Mobile and Verizon, Nano Card for Unlocked Cellular Security Cameras/Router/Hotspot WiFi/Trail Camera (""], ""data_amount"": [""10GB 30-days Prepaid eSIM: Enjoy a 30-day plan with 10GB of 5G/4G LTE high-speed coverage across Mainland China, Hong Kong, Macau, and Taiwan. Perfect for travelers and business pr""], ""network_type"": [""local_signal: Product description Previous page Next page 1 Fast eSIM Network 2 Apps Travel With You 3 Turn eSIM into WiFi 4 Snap QR, Get eSIM 5 Instant eSIM Activation Previous page Reliable 4G"", ""roaming_signal: Product description Previous page Next page 1 Fast eSIM Network 2 Apps Travel With You 3 Turn eSIM into WiFi 4 Snap QR, Get eSIM 5 Instant eSIM Activation Previous page Reliable 4G"", ""insufficient_or_conflicting_signals(local=3, roaming=5)""], ""network_generation"": [""product_info_cellular_4g_lte: source:product_info_cellular: Cellular Technology LTE"", ""product_info_cellular_4g_lte: source:product_info_cellular: Cellular Technology LTE""], ""review_count"": [""detail_page: 10 global ratings""], ""is_bestseller"": [""Best Sellers Rank #144,573 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #325 in Cell Phone SIM Cards""], ""bestseller_rank"": [""Best Sellers Rank #144,573 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #325 in Cell Phone SIM Cards""], ""title"": [""Prepaid eSIM Card 10GB 30Day for Mainland China, Hong Kong, Macau, Taiwan | Get QR Code Instantly | No VPN Required | 5G/4G LTE High-Speed Internet | Hotspot Allow |No-Contract for Unlocked Phones""]}"
amazon_us,hk,"Prepaid eSIM for Mainland China, Hong Kong, Macau, Taiwan | 15-Day Unlimited | Get QR Code Instantly | 4G LTE High-Speed Network | No VPN Required | Hotspot Allow| No-Contract for Unlocked Phones",28.49,11,,,,True,264,15일,15일,180일,unknown,lte_4g_only,"{""cmhk"": null, ""csl"": null, ""smartone"": null, ""three_hk"": null}",unlimited,https://www.amazon.com/eSIM-15-Day-Unlimited-Get-No-Contract/dp/B0GTNVKN3X,B0GTNVKN3X,B0GTNVKN3X,STAR VENTURE,Visit the UROZETTA Store,"{""price_usd"": [""$28.49""], ""usage_validity"": [""Prepaid eSIM for Mainland China, Hong Kong, Macau, Taiwan | 15-Day Unlimited | Get QR Code Instantly | 4G LTE High-Speed Network | No VPN Required | Hotspot Allow| No-Contract for ""], ""activation_validity"": [""KiwiSIM USA Data SIM Card 12GB 180 Days, 4G LTE SIM Card Support for AT&T, T-Mobile and Verizon, Nano Card for Unlocked Cellular Security Cameras/Router/Hotspot WiFi/Trail Camera (""], ""data_amount"": [""15-Day Unlimited Prepaid eSIM: Enjoy a 15-Day unlimited data plan with 5GB of 5G/4G LTE high-speed coverage across Mainland China, Hong Kong, Macau, and Taiwan. Perfect for travele""], ""network_type"": [""no_local_or_roaming_keyword_matched""], ""network_generation"": [""product_info_cellular_4g_lte: source:product_info_cellular: Cellular Technology LTE"", ""product_info_cellular_4g_lte: source:product_info_cellular: Cellular Technology LTE""], ""review_count"": [""detail_page: 11""], ""is_bestseller"": [""Best Sellers Rank #115,936 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #264 in Cell Phone SIM Cards""], ""bestseller_rank"": [""Best Sellers Rank #115,936 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #264 in Cell Phone SIM Cards""], ""title"": [""Prepaid eSIM for Mainland China, Hong Kong, Macau, Taiwan | 15-Day Unlimited | Get QR Code Instantly | 4G LTE High-Speed Network | No VPN Required | Hotspot Allow| No-Contract for Unlocked Phones""]}"
amazon_us,hk,"Prepaid China eSIM Data: 10GB High-Speed Data for 30 Days,Explore Beijing, Shanghai, Great Wall & More, Seamless Roaming in Mainland China, Hong Kong, Macau, No Contract, Hotspot Support, No SIM Card",17.99,16,,,,True,173,1일,1일,30일,unknown,lte_4g_only,"{""cmhk"": null, ""csl"": null, ""smartone"": null, ""three_hk"": null}",10GB,https://www.amazon.com/Seamless-Mainland-High-Speed-Unlimited-Contract/dp/B0CR3ZT7JC,B0CR3ZT7JC,B0CR3ZT7JC,shuoxing E-commerce,Visit the gtesim Store,"{""price_usd"": [""$17.99""], ""usage_validity"": [""✈Easy To Activate: Purchase the prepaid eSIM, get a redeem code to generate an eSIM QR code, scan the QR code to install the eSIM. The eSIM is considered to be activated when the d""], ""activation_validity"": [""Prepaid China eSIM Data: 10GB High-Speed Data for 30 Days,Explore Beijing, Shanghai, Great Wall & More, Seamless Roaming in Mainland China, Hong Kong, Macau, No Contract, Hotspot S""], ""data_amount"": [""✈Package Details: It's eSim Data only ,no physical Sim Card, no number, no calls & SMS, and it supports hotspots. You can enjoy 30 days of 10GB high speed data and unlimited speed ""], ""network_type"": [""local_signal: ✈Quality Network Services: Supported by local telecommunication carriers, it offers 5G/4G/LTE internet speeds, with wide signal coverage, stable network and fast speed. The interne"", ""roaming_signal: Prepaid China eSIM Data: 10GB High-Speed Data for 30 Days,Explore Beijing, Shanghai, Great Wall & More, Seamless Roaming in Mainland China, Hong Kong, Macau, No Contract, Hotspot S"", ""insufficient_or_conflicting_signals(local=21, roaming=8)""], ""network_generation"": [""product_info_cellular_4g_lte: source:product_info_cellular: Cellular Technology LTE"", ""product_info_cellular_4g_lte: source:product_info_cellular: Cellular Technology LTE""], ""review_count"": [""detail_page: 16 global ratings""], ""is_bestseller"": [""Best Sellers Rank #73,133 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #173 in Cell Phone SIM Cards""], ""bestseller_rank"": [""Best Sellers Rank #73,133 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #173 in Cell Phone SIM Cards""], ""title"": [""Prepaid China eSIM Data: 10GB High-Speed Data for 30 Days,Explore Beijing, Shanghai, Great Wall & More, Seamless Roaming in Mainland China, Hong Kong, Macau, No Contract, Hotspot Support, No SIM Card""]}"
amazon_us,hk,"Travel Data eSIM (30 Days) for China Mainland, Japan, Korea, Thailand, Hong Kong, Taiwan, Singapore, Vietnam and More, 30GB of High-Speed Data, Instant Activation, Prepaid Digital SIM Card",37.99,15,,,,True,317,30일,30일,30일,unknown,5g_capable,"{""cmhk"": null, ""csl"": null, ""smartone"": null, ""three_hk"": null}",30GB,https://www.amazon.com/30-Days-Singapore-High-Speed-Activation/dp/B0DFVQQ3PV,B0DFVQQ3PV,B0DFVQQ3PV,Jethro Trading Ltd.,Visit the JETSIM Store,"{""price_usd"": [""$37.99""], ""usage_validity"": [""Travel Data eSIM (30 Days) for China Mainland, Japan, Korea, Thailand, Hong Kong, Taiwan, Singapore, Vietnam and More, 30GB of High-Speed Data, Instant Activation, Prepaid Digital ""], ""activation_validity"": [""Product description Can I use my eSIM immediately after purchase? Yes. Simply submit the claim form, and we will deliver your eSIM to your email right away. Do I need to activate m""], ""data_amount"": [""[Fast & Reliable Data] 30GB high-speed for 30 days—ideal for maps, social media, and emails.""], ""network_type"": [""roaming_signal: Product description Can I use my eSIM immediately after purchase? Yes. Simply submit the claim form, and we will deliver your eSIM to your email right away. Do I need to activate m"", ""insufficient_or_conflicting_signals(local=0, roaming=1)""], ""network_generation"": [""product_info_cellular_5g: source:product_info_cellular: Cellular Technology 5G/4G"", ""product_info_cellular_5g: source:product_info_cellular: Cellular Technology 5G/4G""], ""review_count"": [""detail_page: 15 global ratings""], ""is_bestseller"": [""Best Sellers Rank #141,351 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #317 in Cell Phone SIM Cards""], ""bestseller_rank"": [""Best Sellers Rank #141,351 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #317 in Cell Phone SIM Cards""], ""title"": [""Travel Data eSIM (30 Days) for China Mainland, Japan, Korea, Thailand, Hong Kong, Taiwan, Singapore, Vietnam and More, 30GB of High-Speed Data, Instant Activation, Prepaid Digital SIM Card""]}"
amazon_us,hk,"travSIM Hong Kong eSIM | 15 Days - 10GB Data SIM | 5G/4G high-Speed Data | Internet Access for Google, Facebook, Whatsapp, Instagram and More",49.0,1,,,,True,246,15일,15일,,unknown,5g_capable,"{""cmhk"": null, ""csl"": null, ""smartone"": null, ""three_hk"": null}",10GB,https://www.amazon.com/travSIM-Hong-eSIM-15-Days/dp/B0FBX9XD86,B0FBX9XD86,B0FBX9XD86,travSIM GmbH Germany,Visit the travSIM Store,"{""price_usd"": [""$49""], ""usage_validity"": [""travSIM Hong Kong eSIM | 15 Days - 10GB Data SIM | 5G/4G high-Speed Data | Internet Access for Google, Facebook, Whatsapp, Instagram and More""], ""data_amount"": [""15-Day Hong Kong eSIM – Includes 10GB of fast 4G/5G data, ideal for tourists, business travelers, and short stays.""], ""network_type"": [""roaming_signal: Unlimited App Access – Use Google, WhatsApp, Facebook, Instagram & more without roaming fees or hidden charges.""], ""network_generation"": [""product_detail_5g: source:feature_bullets: 15-Day Hong Kong eSIM – Includes 10GB of fast 4G/5G data, ideal for tourists, business travelers, and short stays."", ""product_detail_5g: source:product_description: Stay seamlessly connected during your trip with the travSIM Hong Kong eSIM, designed for travelers who want fast, reliable, and hassle-free mobile inter""], ""review_count"": [""detail_page: 1 global rating""], ""is_bestseller"": [""Best Sellers Rank #107,247 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #246 in Cell Phone SIM Cards""], ""bestseller_rank"": [""Best Sellers Rank #107,247 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #246 in Cell Phone SIM Cards""], ""title"": [""travSIM Hong Kong eSIM | 15 Days - 10GB Data SIM | 5G/4G high-Speed Data | Internet Access for Google, Facebook, Whatsapp, Instagram and More""]}"
amazon_us,hk,"China eSIM: 20GB High-Speed Data for 30 Days,Explore Beijing, Shanghai, Great Wall & More, Seamless Roaming in Mainland China, Hong Kong, Macau, No Contract, Hotspot Support, No SIM Card",27.99,16,,,,True,173,1일,1일,30일,unknown,lte_4g_only,"{""cmhk"": null, ""csl"": null, ""smartone"": null, ""three_hk"": null}",20GB,https://www.amazon.com/Seamless-Mainland-High-Speed-Unlimited-Contract/dp/B0CR3QK76C,B0CR3QK76C,B0CR3QK76C,shuoxing E-commerce,Visit the gtesim Store,"{""price_usd"": [""$27.99""], ""usage_validity"": [""✈Easy To Activate: Purchase the prepaid eSIM, get a redeem code to generate an eSIM QR code, scan the QR code to install the eSIM. The eSIM is considered to be activated when the d""], ""activation_validity"": [""China eSIM: 20GB High-Speed Data for 30 Days,Explore Beijing, Shanghai, Great Wall & More, Seamless Roaming in Mainland China, Hong Kong, Macau, No Contract, Hotspot Support, No SI""], ""data_amount"": [""✈Package Details: It's eSim Data only ,no physical Sim Card, no number, no calls & SMS, and it supports hotspots. You can enjoy 30 days of 20GB high speed data and unlimited speed ""], ""network_type"": [""local_signal: ✈Quality Network Services: Supported by local telecommunication carriers, it offers 5G/4G/LTE internet speeds, with wide signal coverage, stable network and fast speed. The interne"", ""roaming_signal: China eSIM: 20GB High-Speed Data for 30 Days,Explore Beijing, Shanghai, Great Wall & More, Seamless Roaming in Mainland China, Hong Kong, Macau, No Contract, Hotspot Support, No SI"", ""insufficient_or_conflicting_signals(local=21, roaming=8)""], ""network_generation"": [""product_info_cellular_4g_lte: source:product_info_cellular: Cellular Technology LTE"", ""product_info_cellular_4g_lte: source:product_info_cellular: Cellular Technology LTE""], ""review_count"": [""detail_page: 16 global ratings""], ""is_bestseller"": [""Best Sellers Rank #73,133 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #173 in Cell Phone SIM Cards""], ""bestseller_rank"": [""Best Sellers Rank #73,133 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #173 in Cell Phone SIM Cards""], ""title"": [""China eSIM: 20GB High-Speed Data for 30 Days,Explore Beijing, Shanghai, Great Wall & More, Seamless Roaming in Mainland China, Hong Kong, Macau, No Contract, Hotspot Support, No SIM Card""]}"
amazon_us,hk,"Prepaid eSIM for Mainland China, Hong Kong, Macau, Taiwan | 5GB 7Day Plan Data | Get QR Code Instantly | 4G LTE High-Speed Network | No VPN Required | Hotspot Allow| No-Contract for Unlocked Phones",9.99,8,,,,True,243,7일,7일,180일,unknown,lte_4g_only,"{""cmhk"": null, ""csl"": null, ""smartone"": null, ""three_hk"": null}",5GB,https://www.amazon.com/5GB-Mainland-High-Speed-Activation-No-Contract/dp/B0DR8XYVPG,B0DR8XYVPG,B0DR8XYVPG,STAR VENTURE,Visit the UROZETTA Store,"{""price_usd"": [""$9.99""], ""usage_validity"": [""Prepaid eSIM for Mainland China, Hong Kong, Macau, Taiwan | 5GB 7Day Plan Data | Get QR Code Instantly | 4G LTE High-Speed Network | No VPN Required | Hotspot Allow| No-Contract fo""], ""activation_validity"": [""KiwiSIM USA Data SIM Card 12GB 180 Days, 4G LTE SIM Card Support for AT&T, T-Mobile and Verizon, Nano Card for Unlocked Cellular Security Cameras/Router/Hotspot WiFi/Trail Camera (""], ""data_amount"": [""5GB 7-Day Prepaid eSIM: Enjoy a 7-day plan with 5GB of 5G/4G LTE high-speed coverage across Mainland China, Hong Kong, Macau, and Taiwan. Perfect for travelers and business profess""], ""network_type"": [""local_signal: Product description Previous page Next page 1 Fast eSIM Network 2 Apps Travel With You 3 Turn eSIM into WiFi 4 Snap QR, Get eSIM 5 Instant eSIM Activation Previous page Reliable 4G"", ""roaming_signal: Product description Previous page Next page 1 Fast eSIM Network 2 Apps Travel With You 3 Turn eSIM into WiFi 4 Snap QR, Get eSIM 5 Instant eSIM Activation Previous page Reliable 4G"", ""insufficient_or_conflicting_signals(local=3, roaming=3)""], ""network_generation"": [""product_info_cellular_4g_lte: source:product_info_cellular: Cellular Technology LTE"", ""product_info_cellular_4g_lte: source:product_info_cellular: Cellular Technology LTE""], ""review_count"": [""detail_page: 8 global ratings""], ""is_bestseller"": [""Best Sellers Rank #105,350 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #243 in Cell Phone SIM Cards""], ""bestseller_rank"": [""Best Sellers Rank #105,350 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #243 in Cell Phone SIM Cards""], ""title"": [""Prepaid eSIM for Mainland China, Hong Kong, Macau, Taiwan | 5GB 7Day Plan Data | Get QR Code Instantly | 4G LTE High-Speed Network | No VPN Required | Hotspot Allow| No-Contract for Unlocked Phones""]}"
amazon_us,hk,Asia eSIM 10 Countries 30 Days 10GB Japan Compatible 5G/4G Data-Only Prepaid eSIM for Unlocked Devices QR Code Instant Delivery Easy Setup Travel SIM with Japanese Support Korea Taiwan China | DHA SIM,19.99,165,,,,True,179,30일,30일,180일,unknown,5g_capable,"{""cmhk"": true, ""csl"": null, ""smartone"": null, ""three_hk"": null}",10GB,https://www.amazon.com/Countries-10GB-Compatible-SIM-DHA/dp/B0H1W8TTN3,B0H1W8TTN3,B0H1W8TTN3,DHA Corporation Co. Ltd,Visit the DHA SIM Store,"{""price_usd"": [""$19.99""], ""usage_validity"": [""Asia eSIM 10 Countries 30 Days 10GB Japan Compatible 5G/4G Data-Only Prepaid eSIM for Unlocked Devices QR Code Instant Delivery Easy Setup Travel SIM with Japanese Support Korea Ta""], ""activation_validity"": [""KiwiSIM USA Data SIM Card 12GB 180 Days, 4G LTE SIM Card Support for AT&T, T-Mobile and Verizon, Nano Card for Unlocked Cellular Security Cameras/Router/Hotspot WiFi/Trail Camera (""], ""data_amount"": [""【Coverage】10 Asian Countries Supported【Data Allowance】10GB""], ""network_type"": [""no_local_or_roaming_keyword_matched""], ""network_generation"": [""product_detail_5g: source:feature_bullets: 【Validity Period】30 Days【Network】Supports 5G / 4G LTE"", ""product_detail_5g: source:feature_bullets: 【Supported Network Carriers】Japan: KDDI 5G/4G、South Korea: LG U+ 5G/4G/3G、Taiwan: Chunghwa Telecom 5G/4G/3G、China: China Mobile 5G/4G/3G、Hong Kong: CMHK 4G/""], ""carrier_support_local"": [""CMHK: 【Supported Network Carriers】Japan: KDDI 5G/4G、South Korea: LG U+ 5G/4G/3G、Taiwan: Chunghwa Telecom 5G/4G/3G、China: China Mobile 5G/4G/3G、Hong Kong: CM""], ""review_count"": [""detail_page: 165 global ratings""], ""is_bestseller"": [""Best Sellers Rank #76,223 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #179 in Cell Phone SIM Cards""], ""bestseller_rank"": [""Best Sellers Rank #76,223 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #179 in Cell Phone SIM Cards""], ""title"": [""Asia eSIM 10 Countries 30 Days 10GB Japan Compatible 5G/4G Data-Only Prepaid eSIM for Unlocked Devices QR Code Instant Delivery Easy Setup Travel SIM with Japanese Support Korea Taiwan China | DHA SIM""]}"
amazon_us,hk,"Prepaid eSIM for Mainland China, Hong Kong, Macau, Taiwan | 20GB 30Day Plan Data | Get QR Code Instantly | 4G LTE High-Speed Network | No VPN Required | Hotspot Allow| No-Contract for Unlocked Phones",34.19,10,,,,True,197,30일,30일,180일,unknown,lte_4g_only,"{""cmhk"": null, ""csl"": null, ""smartone"": null, ""three_hk"": null}",20GB,https://www.amazon.com/eSIM-20GB-Get-High-Speed-No-Contract/dp/B0GTM51CN4,B0GTM51CN4,B0GTM51CN4,STAR VENTURE,Brand: ＵＲＯＺＥＴＴＡ,"{""price_usd"": [""$34.19""], ""usage_validity"": [""Prepaid eSIM for Mainland China, Hong Kong, Macau, Taiwan | 20GB 30Day Plan Data | Get QR Code Instantly | 4G LTE High-Speed Network | No VPN Required | Hotspot Allow| No-Contract ""], ""activation_validity"": [""KiwiSIM USA Data SIM Card 12GB 180 Days, 4G LTE SIM Card Support for AT&T, T-Mobile and Verizon, Nano Card for Unlocked Cellular Security Cameras/Router/Hotspot WiFi/Trail Camera (""], ""data_amount"": [""20GB 30-Day Prepaid eSIM: Enjoy a 30-day plan with 20GB of 5G/4G LTE high-speed coverage across Mainland China, Hong Kong, Macau, and Taiwan. Perfect for travelers and business pro""], ""network_type"": [""insufficient_or_conflicting_signals(local=0, roaming=-2)""], ""network_generation"": [""product_info_cellular_4g_lte: source:product_info_cellular: Cellular Technology LTE"", ""product_info_cellular_4g_lte: source:product_info_cellular: Cellular Technology LTE""], ""review_count"": [""detail_page: 10""], ""is_bestseller"": [""Best Sellers Rank #85,089 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #197 in Cell Phone SIM Cards""], ""bestseller_rank"": [""Best Sellers Rank #85,089 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #197 in Cell Phone SIM Cards""], ""title"": [""Prepaid eSIM for Mainland China, Hong Kong, Macau, Taiwan | 20GB 30Day Plan Data | Get QR Code Instantly | 4G LTE High-Speed Network | No VPN Required | Hotspot Allow| No-Contract for Unlocked Phones""]}"
