site,country,title,price_usd,review_count,seller_badge,search_position,monthly_sold_count,is_bestseller,bestseller_rank,validity,usage_validity,activation_validity,network_type,network_generation,carrier_support_local,data_amount,product_url,asin,site_product_id,seller,brand,evidence
amazon_us,th,Thailand eSIM | 10GB Super Saver Refillable Plan! QR Code Sent via Email in 24Hrs - Scan & Use Immediately | Auto Activating 15 Day Validity | 5G Speed + Hotspot | Data-Only No Phone Number,13.99,2,,,,True,201,15일,15일,,unknown,lte_4g_only,"{""ais"": null, ""dtac"": null, ""truemove"": null}",10GB,https://www.amazon.com/Thailand-eSIM-10GB-Super-Refillable/dp/B0DX6P2CMT,B0DX6P2CMT,B0DX6P2CMT,TSIM Cards,Visit the TSIM Store,"{""price_usd"": [""$13.99""], ""usage_validity"": [""Thailand eSIM | 10GB Super Saver Refillable Plan! QR Code Sent via Email in 24Hrs - Scan & Use Immediately | Auto Activating 15 Day Validity | 5G Speed + Hotspot | Data-Only No Pho""], ""data_amount"": [""HIGH SPEED 5G/4G DATA: Enjoy up to 10GB of high-speed 5G/4G internet. Hotspot tethering is supported.""], ""network_type"": [""local_signal: Europe eSIM 30 Days 20GB + Unlimited Local Calls + 30 Min Call Home | eSIM Available in 24 Hours | 48 Countries | 5G Data + H"", ""insufficient_or_conflicting_signals(local=1, roaming=0)""], ""network_generation"": [""product_info_cellular_4g_lte: source:product_info_cellular: Cellular Technology LTE"", ""product_info_cellular_4g_lte: source:product_info_cellular: Cellular Technology LTE""], ""review_count"": [""detail_page: 2 global ratings""], ""is_bestseller"": [""Best Sellers Rank #86,741 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #201 in Cell Phone SIM Cards""], ""bestseller_rank"": [""Best Sellers Rank #86,741 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #201 in Cell Phone SIM Cards""], ""title"": [""Thailand eSIM | 10GB Super Saver Refillable Plan! QR Code Sent via Email in 24Hrs - Scan & Use Immediately | Auto Activating 15 Day Validity | 5G Speed + Hotspot | Data-Only No Phone Number""]}"
amazon_us,th,"travSIM Thailand eSIM | Unlimited Data (4G/5G speeds) | Valid for 30 Days | Data only | Use apps Like Whatsapp, Facebook, Instagram and Skype | Use in Thailand and More Than 15 Countries in Asia",36.99,15,,,,True,612,30일,30일,180일,unknown,5g_capable,"{""ais"": null, ""dtac"": null, ""truemove"": null}",unlimited,https://www.amazon.com/travSIM-eSIM-Unlimited-30-Days/dp/B0F2GQ9MJH,B0F2GQ9MJH,B0F2GQ9MJH,travSIM GmbH Germany,Visit the travSIM Store,"{""price_usd"": [""$36.99""], ""usage_validity"": [""travSIM Thailand eSIM | Unlimited Data (4G/5G speeds) | Valid for 30 Days | Data only | Use apps Like Whatsapp, Facebook, Instagram and Skype | Use in Thailand and More Than 15 Cou""], ""activation_validity"": [""KiwiSIM USA Data SIM Card 12GB 180 Days, 4G LTE SIM Card Support for AT&T, T-Mobile and Verizon, Nano Card for Unlocked Cellular Security Cameras/Router/Hotspot WiFi/Trail Camera (""], ""data_amount"": [""eSIM Thailand offers Unlimited high-speed data to use in Thailand and more than 15 countries in Asia. The plan on the eSIM for Thailand is valid for 30 days.""], ""network_type"": [""local_signal: Use social apps (such as Skype, WhatsApp, Facebook and Telegram) to make local and international calls."", ""roaming_signal: Avoid roaming charges, unsecured Wi-Fi hotspots and the hassle of searching for an eSIM at your destination. Purchase a Thailand eSIM before your trip."", ""insufficient_or_conflicting_signals(local=1, roaming=-1)""], ""network_generation"": [""product_info_cellular_5g: source:product_info_cellular: Cellular Technology 5G"", ""product_info_cellular_5g: source:product_info_cellular: Cellular Technology 5G""], ""review_count"": [""detail_page: 15 global ratings""], ""is_bestseller"": [""Best Sellers Rank #275,949 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #612 in Cell Phone SIM Cards""], ""bestseller_rank"": [""Best Sellers Rank #275,949 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #612 in Cell Phone SIM Cards""], ""title"": [""travSIM Thailand eSIM | Unlimited Data (4G/5G speeds) | Valid for 30 Days | Data only | Use apps Like Whatsapp, Facebook, Instagram and Skype | Use in Thailand and More Than 15 Countries in Asia""]}"
amazon_us,th,"Aisa eSIM 30Days 20GB | Instant Email Delivery | 11 Countries Including Japan, South Korea, China, Thailand, and Singapore | 5G, 4G/LTE | Prepaid eSIM for Aisa Travel | Hotspot Supported | Data ONLY",39.98,22,,,,True,108,30일,30일,180일,local,lte_4g_only,"{""ais"": null, ""dtac"": null, ""truemove"": null}",20GB,https://www.amazon.com/30Days-20GB-Countries-Including-Singapore/dp/B0FXBBRW3S,B0FXBBRW3S,B0FXBBRW3S,Starway Mobile,Brand: Starway,"{""price_usd"": [""List Price: $39.98""], ""usage_validity"": [""Aisa eSIM 30Days 20GB | Instant Email Delivery | 11 Countries Including Japan, South Korea, China, Thailand, and Singapore | 5G, 4G/LTE | Prepaid eSIM for Aisa Travel | Hotspot Sup""], ""activation_validity"": [""KiwiSIM USA Data SIM Card 12GB 180 Days, 4G LTE SIM Card Support for AT&T, T-Mobile and Verizon, Nano Card for Unlocked Cellular Security Cameras/Router/Hotspot WiFi/Trail Camera (""], ""data_amount"": [""Aisa 20GB 30-Day eSIM: Enjoy 20GB of high-speed 4G/5G data for 30 days! After using the 20GB high-speed data, continue browsing with unlimited data at 256Kbps. Hotspot sharing is s""], ""network_type"": [""Instant Aisa eSIM: 20GB in 30 Days Get your eSIM instantly via email - Instant Access - Forget Shipping Delays! Visit our website (https://mcrmgr.umacaroon.com/starway), enter your"", ""score: local=3, roaming=1""], ""network_generation"": [""product_info_cellular_4g_lte: source:product_info_cellular: Cellular Technology LTE"", ""product_info_cellular_4g_lte: source:product_info_cellular: Cellular Technology LTE""], ""review_count"": [""detail_page: 22 global ratings""], ""is_bestseller"": [""Best Sellers Rank #46,617 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #108 in Cell Phone SIM Cards""], ""bestseller_rank"": [""Best Sellers Rank #46,617 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #108 in Cell Phone SIM Cards""], ""title"": [""Aisa eSIM 30Days 20GB | Instant Email Delivery | 11 Countries Including Japan, South Korea, China, Thailand, and Singapore | 5G, 4G/LTE | Prepaid eSIM for Aisa Travel | Hotspot Supported | Data ONLY""]}"
amazon_us,th,"[eSIM] Thailand eSIM | 30DAYS 10GB | 5G, 4G/LTE, Tethering, Hotspot | SIM with Instant Activation in 10 Minutes | AIS, DTAC, True, | Bangkok, ChiangMai, Phuket, Krabi | Travel with Ringsim",13.99,10,,,,True,412,30일,30일,180일,local,5g_capable,"{""ais"": true, ""dtac"": true, ""truemove"": null}",5GB,https://www.amazon.com/Thailand-Tethering-Hotspot-Activation-ChiangMai/dp/B0F3J2YKHW,B0F3J2YKHW,B0F3J2YKHW,RINGSIM,Visit the ringsim Store,"{""price_usd"": [""$13.99""], ""usage_validity"": [""[eSIM] Thailand eSIM | 30DAYS 10GB | 5G, 4G/LTE, Tethering, Hotspot | SIM with Instant Activation in 10 Minutes | AIS, DTAC, True, | Bangkok, ChiangMai, Phuket, Krabi | Travel with""], ""activation_validity"": [""KiwiSIM USA Data SIM Card 12GB 180 Days, 4G LTE SIM Card Support for AT&T, T-Mobile and Verizon, Nano Card for Unlocked Cellular Security Cameras/Router/Hotspot WiFi/Trail Camera (""], ""data_amount"": [""★ Flexible Data Plans: Pick 5GB, 10GB, 20GB, 30GB, or Unlimited—perfect for both casual browsing and heavy usage. Flexible prepaid options tailored to your trip in Thailand.""], ""network_type"": [""Product description Previous page Next page 1 Why have to use eSIM 2 What is eSIM? 3 How to Create eSIM. STEP1 4 How to Create eSIM. STEP2 How to install eSIM in IOS(iPhone) Previo"", ""REOLINK 4K LTE Cellular Security Camera Wireless Outdoor, No WiFi 3G/4G Solar Powered, 360 Auto Tracking AI Detection, Color Night Vision, max. 512G Local Storage, SIM Card Include"", ""score: local=4, roaming=-2""], ""network_generation"": [""product_detail_5g: source:feature_bullets: ★ High-Speed Internet: Enjoy stable 5G/4G LTE data throughout Thailand. Great for streaming, maps, messaging, and staying connected whether you’re exploring""], ""carrier_support_local"": [""AIS, dtac: Amazon.com: [eSIM] Thailand eSIM | 30DAYS 10GB | 5G, 4G/LTE, Tethering, Hotspot | SIM with Instant Activation in 10 Minutes | AIS, DTAC, True, | Bangk"", ""AIS, dtac: [eSIM] Thailand eSIM | 30DAYS 10GB | 5G, 4G/LTE, Tethering, Hotspot | SIM with Instant Activation in 10 Minutes | AIS, DTAC, True, | Bangkok, ChiangMa"", ""AIS, dtac: [eSIM] Thailand eSIM | 30DAYS 10GB | 5G, 4G/LTE, Tethering, Hotspot | SIM with Instant Activation in 10 Minutes | AIS, DTAC, True, | Bangkok, ChiangMa"", ""AIS, dtac: [eSIM] Thailand eSIM | 30DAYS 10GB | 5G, 4G/LTE, Tethering, Hotspot | SIM with Instant Activation in 10 Minutes | AIS, DTAC, True, | Bangkok, ChiangMa"", ""AIS, dtac: Amazon.com: [eSIM] Thailand eSIM | 30DAYS 10GB | 5G, 4G/LTE, Tethering, Hotspot | SIM with Instant Activation in 10 Minutes | AIS, DTAC, True, | Bangk""], ""review_count"": [""detail_page: 10 global ratings""], ""is_bestseller"": [""Best Sellers Rank #185,625 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #412 in Cell Phone SIM Cards""], ""bestseller_rank"": [""Best Sellers Rank #185,625 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #412 in Cell Phone SIM Cards""], ""title"": [""[eSIM] Thailand eSIM | 30DAYS 10GB | 5G, 4G/LTE, Tethering, Hotspot | SIM with Instant Activation in 10 Minutes | AIS, DTAC, True, | Bangkok, ChiangMai, Phuket, Krabi | Travel with Ringsim""]}"
amazon_us,th,"Aisa eSIM 20Days 15GB | Instant Email Delivery | 11 Countries Including Japan, South Korea, China, Thailand, and Singapore | 5G, 4G/LTE | Prepaid eSIM for Aisa Travel | Hotspot Supported | Data ONLY",24.35,22,,,,True,108,20일,20일,180일,local,lte_4g_only,"{""ais"": null, ""dtac"": null, ""truemove"": null}",15GB,https://www.amazon.com/20Days-15GB-Countries-Including-Singapore/dp/B0FXB3V38J,B0FXB3V38J,B0FXB3V38J,Starway Mobile,Brand: Starway,"{""price_usd"": [""$24.35""], ""usage_validity"": [""Aisa eSIM 20Days 15GB | Instant Email Delivery | 11 Countries Including Japan, South Korea, China, Thailand, and Singapore | 5G, 4G/LTE | Prepaid eSIM for Aisa Travel | Hotspot Sup""], ""activation_validity"": [""KiwiSIM USA Data SIM Card 12GB 180 Days, 4G LTE SIM Card Support for AT&T, T-Mobile and Verizon, Nano Card for Unlocked Cellular Security Cameras/Router/Hotspot WiFi/Trail Camera (""], ""data_amount"": [""Aisa 15GB 20-Day eSIM: Enjoy 15GB of high-speed 4G/5G data for 20 days! After using the 15GB high-speed data, continue browsing with unlimited data at 256Kbps. Hotspot sharing is s""], ""network_type"": [""Instant Aisa eSIM: 15GB in 20 Days Get your eSIM instantly via email - Instant Access - Forget Shipping Delays! Visit our website (https://mcrmgr.umacaroon.com/starway), enter your"", ""score: local=3, roaming=1""], ""network_generation"": [""product_info_cellular_4g_lte: source:product_info_cellular: Cellular Technology LTE"", ""product_info_cellular_4g_lte: source:product_info_cellular: Cellular Technology LTE""], ""review_count"": [""detail_page: 22 global ratings""], ""is_bestseller"": [""Best Sellers Rank #46,617 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #108 in Cell Phone SIM Cards""], ""bestseller_rank"": [""Best Sellers Rank #46,617 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #108 in Cell Phone SIM Cards""], ""title"": [""Aisa eSIM 20Days 15GB | Instant Email Delivery | 11 Countries Including Japan, South Korea, China, Thailand, and Singapore | 5G, 4G/LTE | Prepaid eSIM for Aisa Travel | Hotspot Supported | Data ONLY""]}"
amazon_us,th,Prepaid eSIM 10-Day Unlimited Data Plan for Thailand | Get QR Code Instantly | 5G/4G High-Speed Network | Hotspot Support | Data Only | No Contract & SIM Card Needed | for Unlocked iOS & Android,18.99,5,,,,True,629,10일,10일,180일,unknown,5g_capable,"{""ais"": null, ""dtac"": true, ""truemove"": null}",unlimited,https://www.amazon.com/Unlimited-Thailand-Instantly-High-Speed-Contract/dp/B0GFWF7H67,B0GFWF7H67,B0GFWF7H67,STAR VENTURE,Visit the UROZETTA Store,"{""price_usd"": [""$18.99""], ""usage_validity"": [""Prepaid eSIM 10-Day Unlimited Data Plan for Thailand | Get QR Code Instantly | 5G/4G High-Speed Network | Hotspot Support | Data Only | No Contract & SIM Card Needed | for Unlocked""], ""activation_validity"": [""KiwiSIM USA Data SIM Card 12GB 180 Days, 4G LTE SIM Card Support for AT&T, T-Mobile and Verizon, Nano Card for Unlocked Cellular Security Cameras/Router/Hotspot WiFi/Trail Camera (""], ""data_amount"": [""Enjoy 10-Day unlimited data on high-speed 5G/4G networks throughout Thailand. Ideal for travelers and business professionals, with support for mobile hotspot sharing and reliable c""], ""network_type"": [""insufficient_or_conflicting_signals(local=0, roaming=-2)""], ""network_generation"": [""product_detail_5g: source:feature_bullets: Enjoy 10-Day unlimited data on high-speed 5G/4G networks throughout Thailand. Ideal for travelers and business professionals, with support for mobile hotspo"", ""product_detail_5g: source:product_description: Prepaid eSIM Data Only | Instant Issuance & Delivery via Email 【Instant Issuance】 After purchase, simply enter your order number and email address on th"", ""product_detail_4g_lte_signal_present_but_5g_capable_takes_precedence""], ""carrier_support_local"": [""dtac: Service Provider DTAC""], ""review_count"": [""detail_page: 5 global ratings""], ""is_bestseller"": [""Best Sellers Rank #281,299 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #629 in Cell Phone SIM Cards""], ""bestseller_rank"": [""Best Sellers Rank #281,299 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #629 in Cell Phone SIM Cards""], ""title"": [""Prepaid eSIM 10-Day Unlimited Data Plan for Thailand | Get QR Code Instantly | 5G/4G High-Speed Network | Hotspot Support | Data Only | No Contract & SIM Card Needed | for Unlocked iOS & Android""]}"
amazon_us,th,"Thailand eSIM – 10 Days Unlimited Data with High-Speed 5G/4G. Hotspot Supported, Same-Day Online Delivery. (10 Days Unlimited Data)",13.99,2,,,,True,559,10일,10일,90일,unknown,lte_4g_only,"{""ais"": null, ""dtac"": true, ""truemove"": null}",unlimited,https://www.amazon.com/Thailand-eSIM-Unlimited-High-Speed-Supported/dp/B0F83N6DP8,B0F83N6DP8,B0F83N6DP8,BillionConnect,Visit the Billion Connect Store,"{""price_usd"": [""$13.99""], ""usage_validity"": [""Thailand eSIM – 10 Days Unlimited Data with High-Speed 5G/4G. Hotspot Supported, Same-Day Online Delivery. (10 Days Unlimited Data)""], ""activation_validity"": [""✅【eSIM Validity Period】 Please activate your eSIM within 90 days of receipt. If not activated at least one day before expiration, it will become invalid and cannot be used.""], ""data_amount"": [""✅【10 Days Unlimited High-Speed Data – 5G/4G Compatible】 Thailand eSIM offers truly unlimited high-speed data! Enjoy video streaming, gaming, social media, and live streaming anytim""], ""network_type"": [""no_local_or_roaming_keyword_matched""], ""network_generation"": [""product_info_cellular_4g_lte: source:product_info_cellular: Cellular Technology LTE"", ""product_info_cellular_4g_lte: source:product_info_cellular: Cellular Technology LTE""], ""carrier_support_local"": [""dtac: Service Provider dtac"", ""dtac: Manufacturer dtac""], ""review_count"": [""detail_page: 2 global ratings""], ""is_bestseller"": [""Best Sellers Rank #251,980 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #559 in Cell Phone SIM Cards""], ""bestseller_rank"": [""Best Sellers Rank #251,980 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #559 in Cell Phone SIM Cards""], ""title"": [""Thailand eSIM – 10 Days Unlimited Data with High-Speed 5G/4G. Hotspot Supported, Same-Day Online Delivery. (10 Days Unlimited Data)""]}"
amazon_us,th,"Travel Data eSIM (30 Days) for China Mainland, Japan, Korea, Thailand, Hong Kong, Taiwan, Singapore, Vietnam and More, 30GB of High-Speed Data, Instant Activation, Prepaid Digital SIM Card",37.99,15,,,,True,317,30일,30일,30일,unknown,5g_capable,"{""ais"": null, ""dtac"": null, ""truemove"": null}",30GB,https://www.amazon.com/30-Days-Singapore-High-Speed-Activation/dp/B0DFVQQ3PV,B0DFVQQ3PV,B0DFVQQ3PV,Jethro Trading Ltd.,Visit the JETSIM Store,"{""price_usd"": [""$37.99""], ""usage_validity"": [""Travel Data eSIM (30 Days) for China Mainland, Japan, Korea, Thailand, Hong Kong, Taiwan, Singapore, Vietnam and More, 30GB of High-Speed Data, Instant Activation, Prepaid Digital ""], ""activation_validity"": [""Product description Can I use my eSIM immediately after purchase? Yes. Simply submit the claim form, and we will deliver your eSIM to your email right away. Do I need to activate m""], ""data_amount"": [""[Fast & Reliable Data] 30GB high-speed for 30 days—ideal for maps, social media, and emails.""], ""network_type"": [""roaming_signal: Product description Can I use my eSIM immediately after purchase? Yes. Simply submit the claim form, and we will deliver your eSIM to your email right away. Do I need to activate m"", ""insufficient_or_conflicting_signals(local=0, roaming=1)""], ""network_generation"": [""product_info_cellular_5g: source:product_info_cellular: Cellular Technology 5G/4G"", ""product_info_cellular_5g: source:product_info_cellular: Cellular Technology 5G/4G""], ""review_count"": [""detail_page: 15 global ratings""], ""is_bestseller"": [""Best Sellers Rank #141,351 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #317 in Cell Phone SIM Cards""], ""bestseller_rank"": [""Best Sellers Rank #141,351 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #317 in Cell Phone SIM Cards""], ""title"": [""Travel Data eSIM (30 Days) for China Mainland, Japan, Korea, Thailand, Hong Kong, Taiwan, Singapore, Vietnam and More, 30GB of High-Speed Data, Instant Activation, Prepaid Digital SIM Card""]}"
amazon_us,th,"Aisa eSIM 10Days 8GB | Instant Email Delivery | 11 Countries Including Japan, South Korea, China, Thailand, and Singapore | 5G, 4G/LTE | Prepaid eSIM for Aisa Travel | Hotspot Supported | Data ONLY",15.72,22,,,,True,108,10일,10일,180일,local,5g_capable,"{""ais"": null, ""dtac"": null, ""truemove"": null}",8GB,https://www.amazon.com/10Days-8GB-Countries-Including-Singapore/dp/B0FXBDD643,B0FXBDD643,B0FXBDD643,Starway Mobile,Brand: Starway,"{""price_usd"": [""$15.72""], ""usage_validity"": [""Aisa eSIM 10Days 8GB | Instant Email Delivery | 11 Countries Including Japan, South Korea, China, Thailand, and Singapore | 5G, 4G/LTE | Prepaid eSIM for Aisa Travel | Hotspot Supp""], ""activation_validity"": [""KiwiSIM USA Data SIM Card 12GB 180 Days, 4G LTE SIM Card Support for AT&T, T-Mobile and Verizon, Nano Card for Unlocked Cellular Security Cameras/Router/Hotspot WiFi/Trail Camera (""], ""data_amount"": [""Aisa 8GB 10-Day eSIM: Enjoy 8GB of high-speed 4G/5G data for 10 days! After using the 8GB high-speed data, continue browsing with unlimited data at 256Kbps. Hotspot sharing is supp""], ""network_type"": [""Instant Aisa eSIM: 8GB in 10 Days Get your eSIM instantly via email - Instant Access - Forget Shipping Delays! Visit our website (https://mcrmgr.umacaroon.com/starway), enter your "", ""score: local=3, roaming=1""], ""network_generation"": [""product_info_cellular_5g: source:product_info_cellular: Cellular Technology LTE, 5G"", ""product_info_cellular_5g: source:product_info_cellular: Cellular Technology LTE, 5G"", ""product_info_cellular_4g_lte_signal_present_but_5g_capable_takes_precedence""], ""review_count"": [""detail_page: 22 global ratings""], ""is_bestseller"": [""Best Sellers Rank #46,617 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #108 in Cell Phone SIM Cards""], ""bestseller_rank"": [""Best Sellers Rank #46,617 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #108 in Cell Phone SIM Cards""], ""title"": [""Aisa eSIM 10Days 8GB | Instant Email Delivery | 11 Countries Including Japan, South Korea, China, Thailand, and Singapore | 5G, 4G/LTE | Prepaid eSIM for Aisa Travel | Hotspot Supported | Data ONLY""]}"
amazon_us,th,Asia eSIM 10 Countries 30 Days 10GB Japan Compatible 5G/4G Data-Only Prepaid eSIM for Unlocked Devices QR Code Instant Delivery Easy Setup Travel SIM with Japanese Support Korea Taiwan China | DHA SIM,19.99,165,,,,True,179,30일,30일,180일,unknown,5g_capable,"{""ais"": null, ""dtac"": null, ""truemove"": true}",10GB,https://www.amazon.com/Countries-10GB-Compatible-SIM-DHA/dp/B0H1W8TTN3,B0H1W8TTN3,B0H1W8TTN3,DHA Corporation Co. Ltd,Visit the DHA SIM Store,"{""price_usd"": [""$19.99""], ""usage_validity"": [""Asia eSIM 10 Countries 30 Days 10GB Japan Compatible 5G/4G Data-Only Prepaid eSIM for Unlocked Devices QR Code Instant Delivery Easy Setup Travel SIM with Japanese Support Korea Ta""], ""activation_validity"": [""KiwiSIM USA Data SIM Card 12GB 180 Days, 4G LTE SIM Card Support for AT&T, T-Mobile and Verizon, Nano Card for Unlocked Cellular Security Cameras/Router/Hotspot WiFi/Trail Camera (""], ""data_amount"": [""【Coverage】10 Asian Countries Supported【Data Allowance】10GB""], ""network_type"": [""insufficient_or_conflicting_signals(local=0, roaming=-2)""], ""network_generation"": [""product_detail_5g: source:feature_bullets: 【Validity Period】30 Days【Network】Supports 5G / 4G LTE"", ""product_detail_5g: source:feature_bullets: 【Supported Network Carriers】Japan: KDDI 5G/4G、South Korea: LG U+ 5G/4G/3G、Taiwan: Chunghwa Telecom 5G/4G/3G、China: China Mobile 5G/4G/3G、Hong Kong: CMHK 4G/""], ""carrier_support_local"": [""TrueMove H: 【Supported Network Carriers】Japan: KDDI 5G/4G、South Korea: LG U+ 5G/4G/3G、Taiwan: Chunghwa Telecom 5G/4G/3G、China: China Mobile 5G/4G/3G、Hong Kong: CM""], ""review_count"": [""detail_page: 165 global ratings""], ""is_bestseller"": [""Best Sellers Rank #76,223 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #179 in Cell Phone SIM Cards""], ""bestseller_rank"": [""Best Sellers Rank #76,223 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #179 in Cell Phone SIM Cards""], ""title"": [""Asia eSIM 10 Countries 30 Days 10GB Japan Compatible 5G/4G Data-Only Prepaid eSIM for Unlocked Devices QR Code Instant Delivery Easy Setup Travel SIM with Japanese Support Korea Taiwan China | DHA SIM""]}"
amazon_us,th,"travSIM Thailand eSIM | 10GB of Data (4G/5G speeds) | Valid for 15 Days | Data only | Use apps Like Whatsapp, Facebook, Instagram and Skype | Use in Thailand and More Than 15 Countries in Asia",28.99,14,,,,True,612,15일,15일,180일,unknown,5g_capable,"{""ais"": null, ""dtac"": null, ""truemove"": null}",10GB,https://www.amazon.com/travSIM-eSIM-10GB-15-Days/dp/B0F2G66CR6,B0F2G66CR6,B0F2G66CR6,travSIM GmbH Germany,Visit the travSIM Store,"{""price_usd"": [""$28.99""], ""usage_validity"": [""travSIM Thailand eSIM | 10GB of Data (4G/5G speeds) | Valid for 15 Days | Data only | Use apps Like Whatsapp, Facebook, Instagram and Skype | Use in Thailand and More Than 15 Count""], ""activation_validity"": [""KiwiSIM USA Data SIM Card 12GB 180 Days, 4G LTE SIM Card Support for AT&T, T-Mobile and Verizon, Nano Card for Unlocked Cellular Security Cameras/Router/Hotspot WiFi/Trail Camera (""], ""data_amount"": [""eSIM Thailand offers 10GB of high-speed data to use in Thailand and more than 15 countries in Asia. The plan on the eSIM for Thailand is valid for 15 days.""], ""network_type"": [""local_signal: Use social apps (such as Skype, WhatsApp, Facebook and Telegram) to make local and international calls."", ""roaming_signal: Avoid roaming charges, unsecured Wi-Fi hotspots and the hassle of searching for an eSIM at your destination. Purchase a Thailand eSIM before your trip."", ""insufficient_or_conflicting_signals(local=1, roaming=-1)""], ""network_generation"": [""product_info_cellular_5g: source:product_info_cellular: Cellular Technology LTE, 5G"", ""product_info_cellular_5g: source:product_info_cellular: Cellular Technology LTE, 5G"", ""product_info_cellular_4g_lte_signal_present_but_5g_capable_takes_precedence""], ""review_count"": [""detail_page: 14 global ratings""], ""is_bestseller"": [""Best Sellers Rank #275,949 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #612 in Cell Phone SIM Cards""], ""bestseller_rank"": [""Best Sellers Rank #275,949 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #612 in Cell Phone SIM Cards""], ""title"": [""travSIM Thailand eSIM | 10GB of Data (4G/5G speeds) | Valid for 15 Days | Data only | Use apps Like Whatsapp, Facebook, Instagram and Skype | Use in Thailand and More Than 15 Countries in Asia""]}"
