site,country,title,price_usd,review_count,seller_badge,search_position,monthly_sold_count,is_bestseller,bestseller_rank,validity,usage_validity,activation_validity,network_type,network_generation,carrier_support_local,data_amount,product_url,asin,site_product_id,seller,brand,evidence
amazon_us,tw,"Taiwan eSIM: 10GB High-Speed Data for 30 Days, Explore Taipei 101, Sun Moon Lake, Taroko Gorge & Cycle Around Taiwan, Hotspot Support, No Contract, No SIM Card",16.99,10,,,,True,309,1일,1일,30일,unknown,lte_4g_only,"{""chunghwa"": true, ""taiwan_mobile"": null, ""fareastone"": null}",10GB,https://www.amazon.com/High-Speed-Unlimited-Supports-Contract-Physical/dp/B0CR4162JY,B0CR4162JY,B0CR4162JY,shuoxing E-commerce,Visit the gtesim Store,"{""price_usd"": [""$16.99""], ""usage_validity"": [""✈Easy To Activate: Purchase the prepaid eSIM, get a redeem code to generate an eSIM QR code, scan the QR code to install the eSIM. The eSIM is considered to be activated when the d""], ""activation_validity"": [""Taiwan eSIM: 10GB High-Speed Data for 30 Days, Explore Taipei 101, Sun Moon Lake, Taroko Gorge & Cycle Around Taiwan, Hotspot Support, No Contract, No SIM Card""], ""data_amount"": [""✈Package Details: It's eSim data only ,no physical Sim Card, no number, no calls & SMS, and it supports hotspots. You can enjoy 30 days of 10GB/20GB high speed data and unlimited s""], ""network_type"": [""local_signal: ✈Quality Network Services: Supported by local telecommunication carrier CHT, it offers 5G/4G/LTE internet speeds, with wide signal coverage, stable network and fast speed. The inte"", ""roaming_signal: Europe Roaming Essential Unlimited Data 10GB High-Speed Data Local Carriers eSIM for 30 Days No C..."", ""insufficient_or_conflicting_signals(local=20, roaming=2)""], ""network_generation"": [""product_info_cellular_4g_lte: source:product_info_cellular: Cellular Technology LTE"", ""product_info_cellular_4g_lte: source:product_info_cellular: Cellular Technology LTE""], ""carrier_support_local"": [""Chunghwa Telecom: ✈Quality Network Services: Supported by local telecommunication carrier CHT, it offers 5G/4G/LTE internet speeds, with wide signal coverage, stable ne"", ""Chunghwa Telecom: Service Provider local carriers(CHT)"", ""Chunghwa Telecom: Travel Taiwan China 10GB High-Speed Data and Unlimited Data for 30 Days Local Supports(CHT) No Co..."", ""Chunghwa Telecom: Travel Taiwan China 10GB High-Speed Data and Unlimited Data for 30 Days Local Supports(CHT) No Co...""], ""review_count"": [""detail_page: 10 global ratings""], ""is_bestseller"": [""Best Sellers Rank #136,318 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #309 in Cell Phone SIM Cards""], ""bestseller_rank"": [""Best Sellers Rank #136,318 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #309 in Cell Phone SIM Cards""], ""title"": [""Taiwan eSIM: 10GB High-Speed Data for 30 Days, Explore Taipei 101, Sun Moon Lake, Taroko Gorge & Cycle Around Taiwan, Hotspot Support, No Contract, No SIM Card""]}"
amazon_us,tw,"Taiwan eSIM: 20GB High-Speed Data for 30 Days, Explore Taipei 101, Sun Moon Lake, Taroko Gorge & Cycle Around Taiwan, Hotspot Support, No Contract, No SIM Card",19.99,10,,,,True,309,1일,1일,30일,unknown,lte_4g_only,"{""chunghwa"": true, ""taiwan_mobile"": null, ""fareastone"": null}",10GB,https://www.amazon.com/High-Speed-Unlimited-Supports-Contract-Physical/dp/B0CR3Q54Z6,B0CR3Q54Z6,B0CR3Q54Z6,shuoxing E-commerce,Visit the gtesim Store,"{""price_usd"": [""$19.99""], ""usage_validity"": [""✈Easy To Activate: Purchase the prepaid eSIM, get a redeem code to generate an eSIM QR code, scan the QR code to install the eSIM. The eSIM is considered to be activated when the d""], ""activation_validity"": [""Taiwan eSIM: 20GB High-Speed Data for 30 Days, Explore Taipei 101, Sun Moon Lake, Taroko Gorge & Cycle Around Taiwan, Hotspot Support, No Contract, No SIM Card""], ""data_amount"": [""✈Package Details: It's eSim data only ,no physical Sim Card, no number, no calls & SMS, and it supports hotspots. You can enjoy 30 days of 10GB/20GB high speed data and unlimited s""], ""network_type"": [""local_signal: ✈Quality Network Services: Supported by local telecommunication carrier CHT, it offers 5G/4G/LTE internet speeds, with wide signal coverage, stable network and fast speed. The inte"", ""roaming_signal: Europe Roaming Essential Unlimited Data 10GB High-Speed Data Local Carriers eSIM for 30 Days No C..."", ""insufficient_or_conflicting_signals(local=20, roaming=2)""], ""network_generation"": [""product_info_cellular_4g_lte: source:product_info_cellular: Cellular Technology LTE"", ""product_info_cellular_4g_lte: source:product_info_cellular: Cellular Technology LTE""], ""carrier_support_local"": [""Chunghwa Telecom: ✈Quality Network Services: Supported by local telecommunication carrier CHT, it offers 5G/4G/LTE internet speeds, with wide signal coverage, stable ne"", ""Chunghwa Telecom: Service Provider local carriers(CHT)"", ""Chunghwa Telecom: Travel Taiwan China 10GB High-Speed Data and Unlimited Data for 30 Days Local Supports(CHT) No Co..."", ""Chunghwa Telecom: Travel Taiwan China 10GB High-Speed Data and Unlimited Data for 30 Days Local Supports(CHT) No Co...""], ""review_count"": [""detail_page: 10 global ratings""], ""is_bestseller"": [""Best Sellers Rank #136,318 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #309 in Cell Phone SIM Cards""], ""bestseller_rank"": [""Best Sellers Rank #136,318 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #309 in Cell Phone SIM Cards""], ""title"": [""Taiwan eSIM: 20GB High-Speed Data for 30 Days, Explore Taipei 101, Sun Moon Lake, Taroko Gorge & Cycle Around Taiwan, Hotspot Support, No Contract, No SIM Card""]}"
amazon_us,tw,Asia eSIM 10 Countries 30 Days 10GB Japan Compatible 5G/4G Data-Only Prepaid eSIM for Unlocked Devices QR Code Instant Delivery Easy Setup Travel SIM with Japanese Support Korea Taiwan China | DHA SIM,19.99,165,,,,True,179,30일,30일,180일,unknown,5g_capable,"{""chunghwa"": true, ""taiwan_mobile"": null, ""fareastone"": null}",10GB,https://www.amazon.com/Countries-10GB-Compatible-SIM-DHA/dp/B0H1W8TTN3,B0H1W8TTN3,B0H1W8TTN3,DHA Corporation Co. Ltd,Visit the DHA SIM Store,"{""price_usd"": [""$19.99""], ""usage_validity"": [""Asia eSIM 10 Countries 30 Days 10GB Japan Compatible 5G/4G Data-Only Prepaid eSIM for Unlocked Devices QR Code Instant Delivery Easy Setup Travel SIM with Japanese Support Korea Ta""], ""activation_validity"": [""KiwiSIM USA Data SIM Card 12GB 180 Days, 4G LTE SIM Card Support for AT&T, T-Mobile and Verizon, Nano Card for Unlocked Cellular Security Cameras/Router/Hotspot WiFi/Trail Camera (""], ""data_amount"": [""【Coverage】10 Asian Countries Supported【Data Allowance】10GB""], ""network_type"": [""no_local_or_roaming_keyword_matched""], ""network_generation"": [""product_detail_5g: source:feature_bullets: 【Validity Period】30 Days【Network】Supports 5G / 4G LTE"", ""product_detail_5g: source:feature_bullets: 【Supported Network Carriers】Japan: KDDI 5G/4G、South Korea: LG U+ 5G/4G/3G、Taiwan: Chunghwa Telecom 5G/4G/3G、China: China Mobile 5G/4G/3G、Hong Kong: CMHK 4G/""], ""carrier_support_local"": [""Chunghwa Telecom: 【Supported Network Carriers】Japan: KDDI 5G/4G、South Korea: LG U+ 5G/4G/3G、Taiwan: Chunghwa Telecom 5G/4G/3G、China: China Mobile 5G/4G/3G、Hong Kong: CM""], ""review_count"": [""detail_page: 165 global ratings""], ""is_bestseller"": [""Best Sellers Rank #76,223 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #179 in Cell Phone SIM Cards""], ""bestseller_rank"": [""Best Sellers Rank #76,223 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #179 in Cell Phone SIM Cards""], ""title"": [""Asia eSIM 10 Countries 30 Days 10GB Japan Compatible 5G/4G Data-Only Prepaid eSIM for Unlocked Devices QR Code Instant Delivery Easy Setup Travel SIM with Japanese Support Korea Taiwan China | DHA SIM""]}"
amazon_us,tw,"Prepaid eSIM for Mainland China, Hong Kong, Macau, Taiwan | 15-Day Unlimited | Get QR Code Instantly | 4G LTE High-Speed Network | No VPN Required | Hotspot Allow| No-Contract for Unlocked Phones",28.49,22,,,,True,264,15일,15일,180일,unknown,lte_4g_only,"{""chunghwa"": null, ""taiwan_mobile"": null, ""fareastone"": null}",unlimited,https://www.amazon.com/eSIM-15-Day-Unlimited-Get-No-Contract/dp/B0GTNVKN3X,B0GTNVKN3X,B0GTNVKN3X,STAR VENTURE,Visit the UROZETTA Store,"{""price_usd"": [""$28.49""], ""usage_validity"": [""Prepaid eSIM for Mainland China, Hong Kong, Macau, Taiwan | 15-Day Unlimited | Get QR Code Instantly | 4G LTE High-Speed Network | No VPN Required | Hotspot Allow| No-Contract for ""], ""activation_validity"": [""KiwiSIM USA Data SIM Card 12GB 180 Days, 4G LTE SIM Card Support for AT&T, T-Mobile and Verizon, Nano Card for Unlocked Cellular Security Cameras/Router/Hotspot WiFi/Trail Camera (""], ""data_amount"": [""15-Day Unlimited Prepaid eSIM: Enjoy a 15-Day unlimited data plan with 5GB of 5G/4G LTE high-speed coverage across Mainland China, Hong Kong, Macau, and Taiwan. Perfect for travele""], ""network_type"": [""insufficient_or_conflicting_signals(local=0, roaming=-2)""], ""network_generation"": [""product_info_cellular_4g_lte: source:product_info_cellular: Cellular Technology LTE"", ""product_info_cellular_4g_lte: source:product_info_cellular: Cellular Technology LTE""], ""review_count"": [""detail_page: 22""], ""is_bestseller"": [""Best Sellers Rank #115,936 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #264 in Cell Phone SIM Cards""], ""bestseller_rank"": [""Best Sellers Rank #115,936 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #264 in Cell Phone SIM Cards""], ""title"": [""Prepaid eSIM for Mainland China, Hong Kong, Macau, Taiwan | 15-Day Unlimited | Get QR Code Instantly | 4G LTE High-Speed Network | No VPN Required | Hotspot Allow| No-Contract for Unlocked Phones""]}"
amazon_us,tw,"EIOTCLUB Asia Travel eSIM, 1GB 30-Day, China Japan Korea & More | 5G/4G prepaid data in China, Japan, Korea, Hong Kong, Macau and Taiwan, QR activation, data only, no voice/SMS",5.0,3,,,,True,68,30일,30일,180일,unknown,5g_capable,"{""chunghwa"": null, ""taiwan_mobile"": null, ""fareastone"": null}",1GB,https://www.amazon.com/eSIM-China-Mainland-Taiwan-1GB/dp/B0DW88254H,B0DW88254H,B0DW88254H,hilan IoT,Visit the EIOTCLUB Store,"{""price_usd"": [""$5.00""], ""usage_validity"": [""EIOTCLUB Asia Travel eSIM, 1GB 30-Day, China Japan Korea & More | 5G/4G prepaid data in China, Japan, Korea, Hong Kong, Macau and Taiwan, QR activation, data only, no voice/SMS""], ""activation_validity"": [""KiwiSIM USA Data SIM Card 12GB 180 Days, 4G LTE SIM Card Support for AT&T, T-Mobile and Verizon, Nano Card for Unlocked Cellular Security Cameras/Router/Hotspot WiFi/Trail Camera (""], ""data_amount"": [""Enjoy 1GB of high-speed 4G/5G LTE data valid for 30 days, offering reliable coverage across China Mainland, Japan, Korea, Hong Kong, Macau, and Taiwan.""], ""network_type"": [""roaming_signal: Follow the provided instructions and enter your Amazon order number to receive your eSIM QR code. Once received, turn on the eSIM line on your phone and enable \""Data Roaming\"" for a"", ""insufficient_or_conflicting_signals(local=0, roaming=1)""], ""network_generation"": [""product_detail_5g: source:feature_bullets: Enjoy 1GB of high-speed 4G/5G LTE data valid for 30 days, offering reliable coverage across China Mainland, Japan, Korea, Hong Kong, Macau, and Taiwan.""], ""review_count"": [""detail_page: 3 global ratings""], ""is_bestseller"": [""Best Sellers Rank #31,875 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #68 in Cell Phone SIM Cards""], ""bestseller_rank"": [""Best Sellers Rank #31,875 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #68 in Cell Phone SIM Cards""], ""title"": [""EIOTCLUB Asia Travel eSIM, 1GB 30-Day, China Japan Korea & More | 5G/4G prepaid data in China, Japan, Korea, Hong Kong, Macau and Taiwan, QR activation, data only, no voice/SMS""]}"
amazon_us,tw,China Hong Kong Macau Taiwan eSIM | 3GB Super Saver Refillable Plan! QR Code Sent via Email in 24Hrs - Scan & Use Immediately | Auto Activating 30 Day Validity | Hotspot | Data-Only No Phone Number,6.99,3,,,,True,979,30일,30일,180일,unknown,lte_4g_only,"{""chunghwa"": null, ""taiwan_mobile"": null, ""fareastone"": null}",3GB,https://www.amazon.com/China-Taiwan-eSIM-3GB-Refillable/dp/B0DX6VVDCS,B0DX6VVDCS,B0DX6VVDCS,TSIM Cards,Visit the TSIM Store,"{""price_usd"": [""$6.99""], ""usage_validity"": [""China Hong Kong Macau Taiwan eSIM | 3GB Super Saver Refillable Plan! QR Code Sent via Email in 24Hrs - Scan & Use Immediately | Auto Activating 30 Day Validity | Hotspot | Data-Onl""], ""activation_validity"": [""KiwiSIM USA Data SIM Card 12GB 180 Days, 4G LTE SIM Card Support for AT&T, T-Mobile and Verizon, Nano Card for Unlocked Cellular Security Cameras/Router/Hotspot WiFi/Trail Camera (""], ""data_amount"": [""HIGH SPEED 5G/4G DATA: Enjoy up to 3GB of high-speed 5G/4G internet. Hotspot tethering is supported.""], ""network_type"": [""local_signal: TSIM Prepaid USA SIM Card for Travel | Unlimited High Data, Unlimited Local Calls and Text for 30..."", ""roaming_signal: Taiwan 4G/5G LTE Prepaid SIM Card - 1GB High-Speed Data, 5 Days Unlimited Roaming f..."", ""insufficient_or_conflicting_signals(local=2, roaming=2)""], ""network_generation"": [""product_info_cellular_4g_lte: source:product_info_cellular: Cellular Technology LTE"", ""product_info_cellular_4g_lte: source:product_info_cellular: Cellular Technology LTE""], ""review_count"": [""detail_page: 3 global ratings""], ""is_bestseller"": [""Best Sellers Rank #487,336 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #979 in Cell Phone SIM Cards""], ""bestseller_rank"": [""Best Sellers Rank #487,336 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #979 in Cell Phone SIM Cards""], ""title"": [""China Hong Kong Macau Taiwan eSIM | 3GB Super Saver Refillable Plan! QR Code Sent via Email in 24Hrs - Scan & Use Immediately | Auto Activating 30 Day Validity | Hotspot | Data-Only No Phone Number""]}"
amazon_us,tw,"Prepaid eSIM for Mainland China, Hong Kong, Macau, Taiwan | 5GB 7Day Plan Data | Get QR Code Instantly | 4G LTE High-Speed Network | No VPN Required | Hotspot Allow| No-Contract for Unlocked Phones",9.99,8,,,,True,243,7일,7일,180일,local,lte_4g_only,"{""chunghwa"": null, ""taiwan_mobile"": null, ""fareastone"": null}",5GB,https://www.amazon.com/5GB-Mainland-High-Speed-Activation-No-Contract/dp/B0DR8XYVPG,B0DR8XYVPG,B0DR8XYVPG,STAR VENTURE,Visit the UROZETTA Store,"{""price_usd"": [""$9.99""], ""usage_validity"": [""Prepaid eSIM for Mainland China, Hong Kong, Macau, Taiwan | 5GB 7Day Plan Data | Get QR Code Instantly | 4G LTE High-Speed Network | No VPN Required | Hotspot Allow| No-Contract fo""], ""activation_validity"": [""KiwiSIM USA Data SIM Card 12GB 180 Days, 4G LTE SIM Card Support for AT&T, T-Mobile and Verizon, Nano Card for Unlocked Cellular Security Cameras/Router/Hotspot WiFi/Trail Camera (""], ""data_amount"": [""5GB 7-Day Prepaid eSIM: Enjoy a 7-day plan with 5GB of 5G/4G LTE high-speed coverage across Mainland China, Hong Kong, Macau, and Taiwan. Perfect for travelers and business profess""], ""network_type"": [""Product description Previous page Next page 1 Fast eSIM Network 2 Apps Travel With You 3 Turn eSIM into WiFi 4 Snap QR, Get eSIM 5 Instant eSIM Activation Previous page Reliable 4G"", ""score: local=3, roaming=1""], ""network_generation"": [""product_info_cellular_4g_lte: source:product_info_cellular: Cellular Technology LTE"", ""product_info_cellular_4g_lte: source:product_info_cellular: Cellular Technology LTE""], ""review_count"": [""detail_page: 8 global ratings""], ""is_bestseller"": [""Best Sellers Rank #105,350 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #243 in Cell Phone SIM Cards""], ""bestseller_rank"": [""Best Sellers Rank #105,350 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #243 in Cell Phone SIM Cards""], ""title"": [""Prepaid eSIM for Mainland China, Hong Kong, Macau, Taiwan | 5GB 7Day Plan Data | Get QR Code Instantly | 4G LTE High-Speed Network | No VPN Required | Hotspot Allow| No-Contract for Unlocked Phones""]}"
amazon_us,tw,Taiwan eSIM for Travelers – Fast 4G LTE Mobile Data | No SIM Card Needed | Easy Setup | Stay Connected Anytime,9.99,2,,,,True,1026,3일,3일,,unknown,lte_4g_only,"{""chunghwa"": null, ""taiwan_mobile"": null, ""fareastone"": null}",1GB,https://www.amazon.com/Taiwan-eSIM-Travelers-Connected-Anytime/dp/B0F2GYXYLY,B0F2GYXYLY,B0F2GYXYLY,Mossroam,Visit the mossroam Store,"{""price_usd"": [""$9.99""], ""usage_validity"": [""Model Number 1GB Day pass,3 Days""], ""data_amount"": [""Model Number 1GB Day pass,3 Days""], ""network_type"": [""roaming_signal: Please use your eSIM card after you have arrived at your destination. When you turn on the roaming function, your card will be activated as soon as you arrive at your destination a"", ""insufficient_or_conflicting_signals(local=0, roaming=1)""], ""network_generation"": [""product_info_cellular_4g_lte: source:product_info_cellular: Cellular Technology LTE"", ""product_info_cellular_4g_lte: source:product_info_cellular: Cellular Technology LTE""], ""review_count"": [""detail_page: 2 global ratings""], ""is_bestseller"": [""Best Sellers Rank #517,900 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #1,026 in Cell Phone SIM Cards""], ""bestseller_rank"": [""Best Sellers Rank #517,900 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #1,026 in Cell Phone SIM Cards""], ""title"": [""Taiwan eSIM for Travelers – Fast 4G LTE Mobile Data | No SIM Card Needed | Easy Setup | Stay Connected Anytime""]}"
amazon_us,tw,Taiwan eSIM for Travelers – Fast 4G LTE Mobile Data | No SIM Card Needed | Easy Setup | Stay Connected Anytime,10.99,2,,,,True,1026,3일,3일,,unknown,lte_4g_only,"{""chunghwa"": null, ""taiwan_mobile"": null, ""fareastone"": null}",2GB,https://www.amazon.com/Taiwan-eSIM-Travelers-Connected-Anytime/dp/B0F2GZ7PJY,B0F2GZ7PJY,B0F2GZ7PJY,Mossroam,Visit the mossroam Store,"{""price_usd"": [""$10.99""], ""usage_validity"": [""Model Number 2GB Day pass,3 Days""], ""data_amount"": [""Model Number 2GB Day pass,3 Days""], ""network_type"": [""local_signal: REOLINK 4K LTE Cellular Security Camera Wireless Outdoor, No WiFi 3G/4G Solar Powered, 360 Auto Tracking AI Detection, Color Night Vision, max. 512G Local Storage, SIM Card Include"", ""roaming_signal: Please use your eSIM card after you have arrived at your destination. When you turn on the roaming function, your card will be activated as soon as you arrive at your destination a"", ""insufficient_or_conflicting_signals(local=1, roaming=-1)""], ""network_generation"": [""product_info_cellular_4g_lte: source:product_info_cellular: Cellular Technology LTE"", ""product_info_cellular_4g_lte: source:product_info_cellular: Cellular Technology LTE""], ""review_count"": [""detail_page: 2 global ratings""], ""is_bestseller"": [""Best Sellers Rank #517,900 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #1,026 in Cell Phone SIM Cards""], ""bestseller_rank"": [""Best Sellers Rank #517,900 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #1,026 in Cell Phone SIM Cards""], ""title"": [""Taiwan eSIM for Travelers – Fast 4G LTE Mobile Data | No SIM Card Needed | Easy Setup | Stay Connected Anytime""]}"
amazon_us,tw,"Travel Data eSIM (30 Days) for China Mainland, Japan, Korea, Thailand, Hong Kong, Taiwan, Singapore, Vietnam and More, 30GB of High-Speed Data, Instant Activation, Prepaid Digital SIM Card",37.99,15,,,,True,317,30일,30일,30일,unknown,5g_capable,"{""chunghwa"": null, ""taiwan_mobile"": null, ""fareastone"": null}",30GB,https://www.amazon.com/30-Days-Singapore-High-Speed-Activation/dp/B0DFVQQ3PV,B0DFVQQ3PV,B0DFVQQ3PV,Jethro Trading Ltd.,Visit the JETSIM Store,"{""price_usd"": [""$37.99""], ""usage_validity"": [""Travel Data eSIM (30 Days) for China Mainland, Japan, Korea, Thailand, Hong Kong, Taiwan, Singapore, Vietnam and More, 30GB of High-Speed Data, Instant Activation, Prepaid Digital ""], ""activation_validity"": [""Product description Can I use my eSIM immediately after purchase? Yes. Simply submit the claim form, and we will deliver your eSIM to your email right away. Do I need to activate m""], ""data_amount"": [""[Fast & Reliable Data] 30GB high-speed for 30 days—ideal for maps, social media, and emails.""], ""network_type"": [""local_signal: Data Only SIM Card 30GB US Local Data 5G 4G LTE No Throttling 365 Days Validity Prepaid, Global Coverage in 100+ Countries, Plug & Play, Triple Cut for Unlocked Phones Tablets Hots"", ""roaming_signal: Product description Can I use my eSIM immediately after purchase? Yes. Simply submit the claim form, and we will deliver your eSIM to your email right away. Do I need to activate m"", ""insufficient_or_conflicting_signals(local=1, roaming=1)""], ""network_generation"": [""product_info_cellular_5g: source:product_info_cellular: Cellular Technology 5G/4G"", ""product_info_cellular_5g: source:product_info_cellular: Cellular Technology 5G/4G""], ""review_count"": [""detail_page: 15 global ratings""], ""is_bestseller"": [""Best Sellers Rank #141,351 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #317 in Cell Phone SIM Cards""], ""bestseller_rank"": [""Best Sellers Rank #141,351 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #317 in Cell Phone SIM Cards""], ""title"": [""Travel Data eSIM (30 Days) for China Mainland, Japan, Korea, Thailand, Hong Kong, Taiwan, Singapore, Vietnam and More, 30GB of High-Speed Data, Instant Activation, Prepaid Digital SIM Card""]}"
